pair,scope,spearman_rho,p_value,ci_lo,ci_hi,n_clusters,n_obs
circ_vs_perim,all,0.5864837479598816,2.1308602340815216e-301,0.5279612921581035,0.6379609709867479,184,3269
circ_vs_perim,seed_20260803,0.6083847044048007,4.922286775260411e-111,0.539604439311029,0.6710391258827626,183,1087
circ_vs_perim,seed_20260804,0.5971293877627198,4.6373967179969e-107,0.5237346035464694,0.6603508634813604,184,1098
circ_vs_perim,seed_20260805,0.5523154274693445,1.3731509231437535e-87,0.4793193211513343,0.6197094095933096,184,1084
circ_vs_perim,model_baseline,0.5743346796858522,5.360125915635675e-145,0.50295129121933,0.6364611987161573,184,1645
circ_vs_perim,model_nc_aware_lambda_0p10,0.5977983598925094,6.026760147381493e-158,0.5317472756918441,0.6585792925113122,184,1624
circ_vs_perim,severity_10,0.3938074056668911,5.188627364589983e-42,0.29087328047734873,0.4888957413991541,184,1097
circ_vs_perim,severity_20,0.5830401267662985,1.0469255712238663e-100,0.5092858601972884,0.6470220383172832,184,1095
circ_vs_perim,severity_30,0.6333003639479571,8.391005991662448e-122,0.5640080781434073,0.6939381055916082,184,1077
circ_vs_area,all,0.40819288243084306,1.6953102686059463e-131,0.33525434578764646,0.47630940395778915,184,3269
circ_vs_area,seed_20260803,0.37115325411184946,7.79514145616111e-37,0.29161577029317154,0.44999450044181777,183,1087
circ_vs_area,seed_20260804,0.40871605275041767,1.8538653218151822e-45,0.30970714002120797,0.4995160992158427,184,1098
circ_vs_area,seed_20260805,0.44476183924471197,8.873021942225463e-54,0.3586428986489187,0.5230738368722018,184,1084
circ_vs_area,model_baseline,0.4216413435104265,6.760116582690552e-72,0.3371950982553024,0.49797783553562075,184,1645
circ_vs_area,model_nc_aware_lambda_0p10,0.3956940186396833,5.275525849954291e-62,0.3208180445346061,0.4688520825536649,184,1624
circ_vs_area,severity_10,0.15204743081334526,4.1999391137594005e-07,0.07345829573038376,0.22972425101237398,184,1097
circ_vs_area,severity_20,0.39309503969124243,8.847539081486921e-42,0.301976344952171,0.47689268460478706,184,1095
circ_vs_area,severity_30,0.52343191651247,8.42877559021002e-77,0.4499655892782828,0.5919381248543433,184,1077
nc_vs_area,all,0.6367321951037909,0.0,0.5799962788182826,0.6907845415399796,184,3269
nc_vs_area,seed_20260803,0.6720622058249557,9.717366358453821e-144,0.6100292694222907,0.7312089601112971,183,1087
nc_vs_area,seed_20260804,0.6251875446890729,4.078504695567667e-120,0.5357582160198908,0.7034226605835914,184,1098
nc_vs_area,seed_20260805,0.6104689294215667,1.1038010972613573e-111,0.5440586225210737,0.6742775693558302,184,1084
nc_vs_area,model_baseline,0.6064822992968583,7.962006628896816e-166,0.5299900537594294,0.6753460953438726,184,1645
nc_vs_area,model_nc_aware_lambda_0p10,0.6664721311061564,4.08423503311191e-209,0.6094775409496123,0.7201746964996434,184,1624
nc_vs_area,severity_10,0.5902560964541217,5.809924662703556e-104,0.5127570751477823,0.6634391337437795,184,1097
nc_vs_area,severity_20,0.6224437553994054,1.8449961693155482e-118,0.5516402466595403,0.6894218010884821,184,1095
nc_vs_area,severity_30,0.7062686811839624,1.9297929693939078e-163,0.6512381255909439,0.7571159727676474,184,1077
nc_vs_perim,all,0.21062791542999867,4.2287671312100136e-34,0.1430030938655817,0.2762516099284201,184,3269
nc_vs_perim,seed_20260803,0.21282503322177054,1.3403502783338085e-12,0.12953665231994058,0.29400478109516237,183,1087
nc_vs_perim,seed_20260804,0.15166891087184217,4.436034976613585e-07,0.05676216742644701,0.24793536523789667,184,1098
nc_vs_perim,seed_20260805,0.2628849528717125,1.3618084829008826e-18,0.1831908747734428,0.33918161478039,184,1084
nc_vs_perim,model_baseline,0.21602789473952289,8.005293805010845e-19,0.12350450212109529,0.3038788909589482,184,1645
nc_vs_perim,model_nc_aware_lambda_0p10,0.20718965974164566,3.318579164666164e-17,0.1353316892218314,0.2769208355560155,184,1624
nc_vs_perim,severity_10,0.07177521473675061,0.017424631455170623,-0.0002615859843364316,0.14544877376183116,184,1097
nc_vs_perim,severity_20,0.1654477162511751,3.659707031429948e-08,0.07741359385318962,0.2502702059248565,184,1095
nc_vs_perim,severity_30,0.33040400319008145,7.57564115549295e-29,0.2414871887513148,0.4157876420238616,184,1077
perim_vs_area,all,0.263681166353707,3.972215566093758e-53,0.19860928470597106,0.32911818709956664,184,3269
perim_vs_area,seed_20260803,0.23447879337092048,4.8313956525269585e-15,0.15102218108635124,0.3154348932118466,183,1087
perim_vs_area,seed_20260804,0.23148928689239548,7.995189446815072e-15,0.13918671878463953,0.32604918934197563,184,1098
perim_vs_area,seed_20260805,0.3283980086114864,1.1303566128572573e-28,0.24998602484058868,0.40605043319704776,184,1084
perim_vs_area,model_baseline,0.26762093193037056,2.2363127473090126e-28,0.18321501531235346,0.35135786538459024,184,1645
perim_vs_area,model_nc_aware_lambda_0p10,0.26055579571887416,1.3046028297551427e-26,0.1900833027798708,0.33290753117918603,184,1624
perim_vs_area,severity_10,0.06233313992954373,0.03899979040607567,-0.016078175698046704,0.14060334612824038,184,1097
perim_vs_area,severity_20,0.19192375492118527,1.5208351226707433e-10,0.10007287497653584,0.28075396145349063,184,1095
perim_vs_area,severity_30,0.3959573313519645,9.527212776242464e-42,0.3130276743291766,0.47970896847698924,184,1077
