scope,feature,std_coef,r2_full_model
all,delta_area_abs_err,-0.10403944807671722,0.5032829788368892
all,delta_perim_abs_err,0.38181161656119844,0.5032829788368892
all,delta_fg_dice,-0.5016568664685591,0.5032829788368892
seed_20260803,delta_area_abs_err,-0.21852340923854727,0.35912379702263575
seed_20260803,delta_perim_abs_err,0.29728170394244535,0.35912379702263575
seed_20260803,delta_fg_dice,-0.5866883942965463,0.35912379702263575
seed_20260804,delta_area_abs_err,-0.04556764510878661,0.5477461631039107
seed_20260804,delta_perim_abs_err,0.44221417951424935,0.5477461631039107
seed_20260804,delta_fg_dice,-0.4713690773733964,0.5477461631039107
seed_20260805,delta_area_abs_err,0.1438464506184633,0.39136207299777215
seed_20260805,delta_perim_abs_err,0.40705852354937444,0.39136207299777215
seed_20260805,delta_fg_dice,-0.1532610135010247,0.39136207299777215
model_baseline,delta_area_abs_err,-0.18079199443529914,0.5028290897690644
model_baseline,delta_perim_abs_err,0.3729031866264585,0.5028290897690644
model_baseline,delta_fg_dice,-0.6077195387104436,0.5028290897690644
model_nc_aware_lambda_0p10,delta_area_abs_err,0.03669061535500753,0.4289430749487768
model_nc_aware_lambda_0p10,delta_perim_abs_err,0.3509817201816939,0.4289430749487768
model_nc_aware_lambda_0p10,delta_fg_dice,-0.34275425934597303,0.4289430749487768
severity_10,delta_area_abs_err,-0.09333687127799828,0.29794309135875074
severity_10,delta_perim_abs_err,0.257515602681355,0.29794309135875074
severity_10,delta_fg_dice,-0.5018388896569319,0.29794309135875074
severity_20,delta_area_abs_err,-0.03832550985634424,0.42689342373809036
severity_20,delta_perim_abs_err,0.376388756211941,0.42689342373809036
severity_20,delta_fg_dice,-0.43878295930968286,0.42689342373809036
severity_30,delta_area_abs_err,-0.10706819311546442,0.5377458812297002
severity_30,delta_perim_abs_err,0.44704309186690916,0.5377458812297002
severity_30,delta_fg_dice,-0.4474084413140107,0.5377458812297002
