dice_band,dice_lo,dice_hi,perturbation_type,perturbation_family,n_cells,n_perturbation_instances,mean_nucleus_dice,mean_circularity_change,mean_abs_circularity_change,median_circularity_change,std_circularity_change,mean_nc_change,mean_abs_nc_change,median_nc_change,std_nc_change,mean_area_change,mean_area_change_rel,mean_perimeter_change,mean_perimeter_change_rel,achieved_dice_min,achieved_dice_max,band_populated
mild,0.95,0.98,dilation,shape,364,447,0.9652735571905371,0.023268829558613407,0.023527370658937223,0.0151430868820476,0.026059344945748367,0.17626187306666152,0.17626187306666152,0.0622938794088462,0.33509411985342447,249.4407158836689,0.07429833607641102,3.984021627129591,0.01898211623316255,0.9501633986928104,0.9799386866024848,True
mild,0.95,0.98,erosion,shape,336,381,0.9651447528273905,0.00373532589029482,0.012044523382993715,-0.002437985017875,0.01861179611816044,-0.1258238827224905,0.1258238827224905,-0.0558507829612797,0.19269903205513444,-242.16666666666666,-0.06825809877439165,-9.310895366305754,-0.037624331929581895,0.95,0.9798038928728232,True
mild,0.95,0.98,indentation,boundary,314,314,0.9651552912027686,-0.42625962208235363,0.42625962208235363,-0.4362446509453476,0.07400210674806237,-0.13459095871196075,0.13459095871196075,-0.0580192215322406,0.20363417558528593,-254.55254777070064,-0.08139864911064,114.49562278484842,0.48157588069317514,0.95,0.9797360980207352,True
mild,0.95,0.98,jitter,boundary,413,552,0.9675817912288799,-0.30660749103508894,0.30660749103508894,-0.30677337200487687,0.0926195345290512,0.047491830273682215,0.0480800661775726,0.02056533111118955,0.0762156535952844,55.77989130434783,0.020130119398054605,74.84234069935654,0.3359042753514331,0.950354609929078,0.97997997997998,True
mild,0.95,0.98,protrusion,boundary,279,279,0.9706943567985871,-0.24676978817118325,0.24685145733230482,-0.2594753082394631,0.07294913996041301,0.08734661568520394,0.08734661568520394,0.038791955934224,0.14377081916358891,115.54301075268818,0.057032651958563614,50.24420891312288,0.26375784355959947,0.9511369134010644,0.979995651228528,True
mild,0.95,0.98,ALL_BOUNDARY,boundary,414,1145,0.9676747910417614,-0.324839849157195,0.3248597493283329,-0.3192966974577814,0.10673945058215291,0.0072695502634836685,0.0813724570670285,0.0120838536103916,0.1644210467778729,-14.762008733624453,0.0012792663610693721,79.72290996266244,0.35827286016137666,0.95,0.979995651228528,True
mild,0.95,0.98,ALL_SHAPE,shape,366,828,0.9652142885161905,0.014280586928626235,0.01824359673123858,0.0088618246897145,0.02490577473135324,0.03725864485933433,0.1530530876546698,0.00768931781354845,0.3167262204945385,23.230072463768117,0.008701715692164857,-2.1335669894149336,-0.00706505375476696,0.95,0.9799386866024848,True
moderate,0.9,0.95,dilation,shape,304,308,0.9325798146604137,0.04000239325105786,0.04003479921168779,0.0261461617934518,0.03912842280252925,0.25350035005614663,0.25350035005614663,0.09845020422822345,0.492034383083553,293.9886363636364,0.15028512706114594,6.286135563602695,0.04115765792278407,0.9008152173913044,0.94989898989899,True
moderate,0.9,0.95,erosion,shape,363,364,0.9311696877585389,0.005527088913174598,0.02042124411854877,-0.0045100585628491,0.03067270001570389,-0.19633590651458013,0.19633590651458013,-0.09027293335579806,0.2986987830103321,-299.5673076923077,-0.13099350487924233,-14.648160664262353,-0.07219819457721394,0.9002944888514934,0.949816928709886,True
moderate,0.9,0.95,indentation,boundary,101,101,0.9360812532805498,-0.45520480308910904,0.45520480308910904,-0.4846510938736776,0.10281374926536065,-0.07829854294025192,0.07829854294025192,-0.0040227998356558,0.1515021107625442,-142.33168316831683,-0.14866953050084278,62.70616508474444,0.4817477958834396,0.9019607843137256,0.9499323410013532,True
moderate,0.9,0.95,jitter,boundary,126,134,0.9364448857632333,-0.37299425552115617,0.37299425552115617,-0.39160707306824494,0.09742813250099112,0.03896261735613459,0.03896261735613459,0.00231496339905035,0.07634707369767102,48.1455223880597,0.046326224339263096,62.81988494431795,0.4601013449104502,0.902439024390244,0.9498689956331876,True
moderate,0.9,0.95,protrusion,boundary,24,24,0.9421435425521759,-0.33359072008947915,0.33359072008947915,-0.3427211127084334,0.050181463883573786,0.010861671704184658,0.010861671704184658,0.00130115432252595,0.03184058740498706,63.083333333333336,0.11508599490257639,34.943751821915306,0.3757843350501126,0.9136276391554704,0.9497041420118344,True
moderate,0.9,0.95,ALL_BOUNDARY,boundary,133,259,0.9368311439956023,-0.40140190206170834,0.40140190206170834,-0.4101015299426395,0.10580662210015944,-0.009368656333370565,0.051698160940493856,0.0008231064659083,0.12289414054228152,-24.74903474903475,-0.02334302950371441,60.19242200704155,0.46072946580475066,0.9019607843137256,0.9499323410013532,True
moderate,0.9,0.95,ALL_SHAPE,shape,367,672,0.9318159959218981,0.021328270068037756,0.029410790202904148,0.01341544337625435,0.03879389041240566,0.009839044413669642,0.22253627647113147,-0.00196257367710045,0.4575422142795177,-27.520833333333332,-0.0020741319065643656,-5.053274893157539,-0.020243428848048185,0.9002944888514934,0.94989898989899,True
