cell_id,class,model,seed,raw_perimeter,closing_perimeter,null_perimeter,delta_perimeter_closing,delta_perimeter_null,delta_area_closing,delta_area_null,abs_delta_area_closing_minus_null,closing_fallback_to_raw,null_target_reduction,null_achieved_reduction,null_matching_error_abs,null_matching_error_pct,null_raw_fallback,null_within_tolerance
148495842-148495854-001,light_dysplastic,baseline,20260803,242.69343149662018,240.93607211112976,241.27921736240387,-1.7573593854904175,-1.4142141342163086,3,-10,13,False,1.7573593854904175,1.4142141342163086,0.3431452512741089,0.19526185372626503,False,False
148497551-148497588-001,light_dysplastic,baseline,20260803,201.6812388896942,198.75230658054352,199.1370825767517,-2.928932309150696,-2.544156312942505,5,-87,92,False,2.928932309150696,2.544156312942505,0.3847759962081909,0.13137073704505128,False,False
148497788-148497816-002,light_dysplastic,baseline,20260803,185.39696860313416,176.6101713180542,180.9949473142624,-8.786797285079956,-4.402021288871765,18,-140,158,False,8.786797285079956,4.402021288871765,4.384775996208191,0.4990186815455014,False,False
148503209-148503222-001,light_dysplastic,baseline,20260803,413.4802289009094,395.6639943122864,395.7644993066788,-17.816234588623047,-17.715729594230652,31,-52,83,False,17.816234588623047,17.715729594230652,0.10050499439239502,0.0056412029092036495,False,True
148503209-148503231-001,light_dysplastic,baseline,20260803,512.9777027368546,472.4163010120392,485.67113387584686,-40.56140172481537,-27.30656886100769,71,-355,426,False,40.56140172481537,27.30656886100769,13.254832863807678,0.32678438860998243,False,False
148503400-148503432-001,light_dysplastic,baseline,20260803,407.4802289009094,373.3624781370163,391.8893896341324,-34.11775076389313,-15.590839266777039,54,-217,271,False,34.11775076389313,15.590839266777039,18.52691149711609,0.5430285139641489,False,False
148503568-148503580-002,light_dysplastic,baseline,20260803,283.86500465869904,277.42135310173035,281.6639943122864,-6.443651556968689,-2.2010103464126587,11,-70,81,False,6.443651556968689,2.2010103464126587,4.24264121055603,0.6584218859518705,False,False
148718455-148718461-001,light_dysplastic,baseline,20260803,384.71067690849304,355.42135310173035,377.9898941516876,-29.289323806762695,-6.72078275680542,50,-155,205,False,29.289323806762695,6.72078275680542,22.568541049957275,0.7705381387038495,False,False
148719308-148719348-004,light_dysplastic,baseline,20260803,201.5807340145111,200.99494755268097,200.9949473142624,-0.5857864618301392,-0.5857867002487183,1,-18,19,False,0.5857864618301392,0.5857867002487183,2.384185791015625e-07,4.070059563286679e-07,False,True
148719308-148719357-001,light_dysplastic,baseline,20260803,210.85281217098236,205.5807341337204,205.3797231912613,-5.272078037261963,-5.473088979721069,9,-88,97,False,5.272078037261963,5.473088979721069,0.20101094245910645,0.038127459616189754,False,True
148848523-148848559-002,moderate_dysplastic,baseline,20260803,262.9360718727112,262.35028517246246,262.35028517246246,-0.5857867002487183,-0.5857867002487183,1,-35,36,False,0.5857867002487183,0.5857867002487183,0.0,0.0,False,True
148881870-148882178-002,light_dysplastic,baseline,20260803,186.5096663236618,184.7523069381714,184.50966584682465,-1.7573593854904175,-2.000000476837158,3,-59,62,False,1.7573593854904175,2.000000476837158,0.24264109134674072,0.13807141177274226,False,False
148882307-148882323-001,light_dysplastic,baseline,20260803,326.1248904466629,296.2497806549072,318.676185965538,-29.875109791755676,-7.448704481124878,51,-171,222,False,29.875109791755676,7.448704481124878,22.4264053106308,0.7506718960015196,False,False
148882535-148882616-001,light_dysplastic,baseline,20260803,521.5218590497971,510.6589412689209,511.6711332798004,-10.86291778087616,-9.850725769996643,92,-405,497,False,10.86291778087616,9.850725769996643,1.0121920108795166,0.09317864972350709,False,True
148882671-148882687-001,light_dysplastic,baseline,20260803,468.3919162750244,435.0020874738693,457.3868625164032,-33.38982880115509,-11.005053758621216,63,-318,381,False,33.38982880115509,11.005053758621216,22.384775042533875,0.6704070025588,False,False
