cell_id,class,model,seed,closing_fallback_to_raw,target_dA,target_dP,null_dA,null_dP,area_matching_error_abs,perimeter_matching_error_abs,area_matching_error_norm,perimeter_matching_error_norm,joint_matching_error,sum_matching_error,valid_proposal_count,invalid_proposal_count,accepted_edit_count,fallback_to_raw
148495842-148495854-001,light_dysplastic,baseline,20260803,False,3.0,-1.7573593854904175,3.0,-2.0,0.0,0.24264061450958252,0.0,0.01557523062484219,0.01557523062484219,0.01557523062484219,2048,0,7,False
148497551-148497588-001,light_dysplastic,baseline,20260803,False,5.0,-2.928932309150696,5.0,-3.171573519706726,0.0,0.24264121055603027,0.0,0.017085662125761854,0.017085662125761854,0.017085662125761854,2048,0,15,False
148497788-148497816-002,light_dysplastic,baseline,20260803,False,18.0,-8.786797285079956,18.0,-8.786797881126404,0.0,5.960464477539062e-07,0.0,4.377526558894061e-08,4.377526558894061e-08,4.377526558894061e-08,2048,0,50,False
148503209-148503222-001,light_dysplastic,baseline,20260803,False,31.0,-17.816234588623047,31.0,-17.71573007106781,0.0,0.10050451755523682,0.0,0.004942631232909098,0.004942631232909098,0.004942631232909098,2048,0,71,False
148503209-148503231-001,light_dysplastic,baseline,20260803,False,71.0,-40.56140172481537,71.0,-40.56140220165253,0.0,4.76837158203125e-07,0.0,1.1755933915651567e-08,1.1755933915651567e-08,1.1755933915651567e-08,2048,0,139,False
148503400-148503432-001,light_dysplastic,baseline,20260803,False,54.0,-34.11775076389313,54.0,-34.25988698005676,0.0,0.14213621616363525,0.0,0.004166048844991805,0.004166048844991805,0.004166048844991805,2048,0,122,False
148503568-148503580-002,light_dysplastic,baseline,20260803,False,11.0,-6.443651556968689,11.0,-6.443651437759399,0.0,1.1920928955078125e-07,0.0,7.0754517235689644e-09,7.0754517235689644e-09,7.0754517235689644e-09,2048,0,29,False
148718455-148718461-001,light_dysplastic,baseline,20260803,False,50.0,-29.289323806762695,50.0,-29.289324283599854,0.0,4.76837158203125e-07,0.0,1.628023785557749e-08,1.628023785557749e-08,1.628023785557749e-08,2048,0,92,False
148719308-148719348-004,light_dysplastic,baseline,20260803,False,1.0,-0.5857864618301392,1.0,-0.5857865810394287,0.0,1.1920928955078125e-07,0.0,8.396254394225291e-09,8.396254394225291e-09,8.396254394225291e-09,2048,0,3,False
148719308-148719357-001,light_dysplastic,baseline,20260803,False,9.0,-5.272078037261963,9.0,-5.272078633308411,0.0,5.960464477539062e-07,0.0,4.1047849114284636e-08,4.1047849114284636e-08,4.1047849114284636e-08,2048,0,21,False
148848523-148848559-002,moderate_dysplastic,baseline,20260803,False,1.0,-0.5857867002487183,1.0,-0.5857869386672974,0.0,2.384185791015625e-07,0.0,1.4703306488410918e-08,1.4703306488410918e-08,1.4703306488410918e-08,2048,0,9,False
148881870-148882178-002,light_dysplastic,baseline,20260803,False,3.0,-1.7573593854904175,3.0,-1.7573602199554443,0.0,8.344650268554688e-07,0.0,6.11022871989996e-08,6.11022871989996e-08,6.11022871989996e-08,2048,0,13,False
148882307-148882323-001,light_dysplastic,baseline,20260803,False,51.0,-29.875109791755676,51.0,-28.703538417816162,0.0,1.1715713739395142,0.0,0.03921563408824093,0.03921563408824093,0.03921563408824093,2048,0,101,False
148882535-148882616-001,light_dysplastic,baseline,20260803,False,92.0,-10.86291778087616,92.0,-11.088313460350037,0.0,0.22539567947387695,0.0,0.009869822194264402,0.009869822194264402,0.009869822194264402,2048,0,130,False
148882671-148882687-001,light_dysplastic,baseline,20260803,False,63.0,-33.38982880115509,63.0,-33.188820004463196,0.0,0.20100879669189453,0.0,0.006020060716362248,0.006020060716362248,0.006020060716362248,2048,0,151,False
149011613-149011656-001,light_dysplastic,baseline,20260803,False,44.0,-24.017244935035706,44.0,-23.674100399017334,0.0,0.3431445360183716,0.0,0.014287422930754294,0.014287422930754294,0.014287422930754294,2048,0,110,False
149013033-149013072-001,moderate_dysplastic,baseline,20260803,False,3.0,-2.5857865810394287,3.0,-2.585787057876587,0.0,4.76837158203125e-07,0.0,3.4045337743804205e-08,3.4045337743804205e-08,3.4045337743804205e-08,2048,0,15,False
149014929-149014984-001,moderate_dysplastic,baseline,20260803,False,2.0,-1.1715726852416992,2.0,-1.171573281288147,0.0,5.960464477539062e-07,0.0,3.738396564436555e-08,3.738396564436555e-08,3.738396564436555e-08,2048,0,8,False
149014929-149015008-003,moderate_dysplastic,baseline,20260803,False,7.0,-4.928932428359985,7.0,-5.171573042869568,0.0,0.24264061450958252,0.0,0.014794198310548524,0.014794198310548524,0.014794198310548524,2048,0,21,False
149014929-149015022-001,light_dysplastic,baseline,20260803,False,55.0,-12.017246127128601,55.0,-11.958370447158813,0.0,0.0588756799697876,0.0,0.0025839535952840633,0.0025839535952840633,0.0025839535952840633,2048,0,77,False
149014929-149015022-002,light_dysplastic,baseline,20260803,False,49.0,-24.017244815826416,49.0,-23.916741013526917,0.0,0.10050380229949951,0.0,0.004184651614712753,0.004184651614712753,0.004184651614712753,2048,0,99,False
149053341-149053350-001,moderate_dysplastic,baseline,20260803,False,17.0,-9.958370566368103,17.0,-9.958370685577393,0.0,1.1920928955078125e-07,0.0,7.182864927372011e-09,7.182864927372011e-09,7.182864927372011e-09,2048,0,57,False
149053945-149053969-001,moderate_dysplastic,baseline,20260803,False,8.0,-6.343146443367004,8.0,-6.5857871770858765,0.0,0.24264073371887207,0.0,0.016108376867973083,0.016108376867973083,0.016108376867973083,2048,0,18,False
149053945-149053976-001,moderate_dysplastic,baseline,20260803,False,1.0,-0.5857864618301392,1.0,-0.5857864618301392,0.0,0.0,0.0,0.0,0.0,0.0,2048,0,1,False
149054642-149054677-003,light_dysplastic,baseline,20260803,False,3.0,-1.7573597431182861,3.0,-1.7573596239089966,0.0,1.1920928955078125e-07,0.0,8.787643137877677e-09,8.787643137877677e-09,8.787643137877677e-09,2048,0,11,False
149056321-149056343-001,severe_dysplastic,baseline,20260803,False,18.0,-10.544156908988953,18.0,-10.5441575050354,0.0,5.960464477539062e-07,0.0,3.3359773512893775e-08,3.3359773512893775e-08,3.3359773512893775e-08,2048,0,32,False
149056321-149056360-001,severe_dysplastic,baseline,20260803,False,7.0,6.7279216051101685,7.0,6.485281229019165,0.0,0.24264037609100342,0.0,0.016079026334445516,0.016079026334445516,0.016079026334445516,2048,0,9,False
149056410-149056458-001,severe_dysplastic,baseline,20260803,False,1.0,-0.585785984992981,1.0,-0.828427791595459,0.0,0.24264180660247803,0.0,0.02015354971344614,0.02015354971344614,0.02015354971344614,2048,0,9,False
149056873-149056884-001,severe_dysplastic,baseline,20260803,False,4.0,-2.343145728111267,4.0,-2.5857865810394287,0.0,0.24264085292816162,0.0,0.01862166149803814,0.01862166149803814,0.01862166149803814,2048,0,10,False
149056873-149056884-002,severe_dysplastic,baseline,20260803,False,2.0,-1.1715728044509888,2.0,-1.1715741157531738,0.0,1.3113021850585938e-06,0.0,1.0597944453619229e-07,1.0597944453619229e-07,1.0597944453619229e-07,2048,0,22,False
149056933-149056982-002,severe_dysplastic,baseline,20260803,False,1.0,-0.5857865810394287,1.0,-0.5857869386672974,0.0,3.5762786865234375e-07,0.0,3.11295440275481e-08,3.11295440275481e-08,3.11295440275481e-08,2048,0,7,False
149057756-149057766-002,moderate_dysplastic,baseline,20260803,False,4.0,-2.3431462049484253,4.0,-2.343147397041321,0.0,1.1920928955078125e-06,0.0,7.033281404671388e-08,7.033281404671388e-08,7.033281404671388e-08,2048,0,22,False
149057756-149057788-002,moderate_dysplastic,baseline,20260803,False,30.0,-19.816234827041626,30.0,-19.71573030948639,0.0,0.10050451755523682,0.0,0.005019985443094715,0.005019985443094715,0.005019985443094715,2048,0,78,False
149057812-149057825-003,moderate_dysplastic,baseline,20260803,False,21.0,-12.30151629447937,21.0,-12.301517128944397,0.0,8.344650268554688e-07,0.0,4.823919666353332e-08,4.823919666353332e-08,4.823919666353332e-08,2048,0,49,False
149057812-149057825-005,moderate_dysplastic,baseline,20260803,False,2.0,-1.1715729236602783,2.0,-1.1715731620788574,0.0,2.384185791015625e-07,0.0,1.7839677615038828e-08,1.7839677615038828e-08,1.7839677615038828e-08,2048,0,4,False
149057812-149057847-004,moderate_dysplastic,baseline,20260803,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,0,0,False
149057812-149057847-005,moderate_dysplastic,baseline,20260803,False,5.0,-2.9289324283599854,5.0,-2.9289335012435913,0.0,1.0728836059570312e-06,0.0,6.512742555256888e-08,6.512742555256888e-08,6.512742555256888e-08,2048,0,27,False
149058262-149058272-003,moderate_dysplastic,baseline,20260803,False,12.0,-5.857864856719971,12.0,-6.000000238418579,0.0,0.1421353816986084,0.0,0.008106533563588697,0.008106533563588697,0.008106533563588697,2048,0,18,False
149061666-149061699-003,moderate_dysplastic,baseline,20260803,False,7.0,-4.100505471229553,7.0,-4.100505471229553,0.0,0.0,0.0,0.0,0.0,0.0,2048,0,25,False
149095913-149095926-001,light_dysplastic,baseline,20260803,False,108.0,-53.8751106262207,108.0,-53.188820242881775,0.0,0.6862903833389282,0.0,0.012738542443102005,0.012738542443102005,0.012738542443102005,2048,0,208,False
149097324-149097373-001,moderate_dysplastic,baseline,20260803,False,12.0,-7.029438376426697,12.0,-7.029438853263855,0.0,4.76837158203125e-07,0.0,2.993821588504319e-08,2.993821588504319e-08,2.993821588504319e-08,2048,0,34,False
149097594-149097637-001,moderate_dysplastic,baseline,20260803,False,25.0,-11.129943609237671,25.0,-11.12994396686554,0.0,3.5762786865234375e-07,0.0,2.0228827093114404e-08,2.0228827093114404e-08,2.0228827093114404e-08,2048,0,73,False
149097594-149097637-002,moderate_dysplastic,baseline,20260803,False,3.0,-0.5857864618301392,3.0,-2.86102294921875e-06,0.0,0.5857836008071899,0.0,0.03767393146775912,0.03767393146775912,0.03767393146775912,2048,0,25,False
149098972-149098988-002,severe_dysplastic,baseline,20260803,False,5.0,-2.5857865810394287,5.0,-2.3431462049484253,0.0,0.24264037609100342,0.0,0.01609618611007392,0.01609618611007392,0.01609618611007392,2048,0,17,False
149099096-149099104-001,severe_dysplastic,baseline,20260803,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2048,0,0,False
149099276-149099290-001,light_dysplastic,baseline,20260803,False,52.0,-28.25988495349884,52.0,-28.259886384010315,0.0,1.430511474609375e-06,0.0,5.061986193373601e-08,5.061986193373601e-08,5.061986193373601e-08,2048,0,82,False
149099276-149099290-002,light_dysplastic,baseline,20260803,False,35.0,-20.50252652168274,35.0,-20.502527594566345,0.0,1.0728836059570312e-06,0.0,5.23293363294708e-08,5.23293363294708e-08,5.23293363294708e-08,2048,0,71,False
149099502-149099525-002,light_dysplastic,baseline,20260803,False,28.0,-16.402021169662476,28.0,-16.402021765708923,0.0,5.960464477539062e-07,0.0,3.633981700111242e-08,3.633981700111242e-08,3.633981700111242e-08,2048,0,44,False
149100006-149100028-002,severe_dysplastic,baseline,20260803,False,19.0,-6.686291694641113,19.0,-6.585786461830139,0.0,0.10050523281097412,0.0,0.007960652113823422,0.007960652113823422,0.007960652113823422,2048,0,25,False
149100064-149100072-001,moderate_dysplastic,baseline,20260803,False,77.0,-44.51977205276489,77.0,-44.7624135017395,0.0,0.24264144897460938,0.0,0.005450195223080442,0.005450195223080442,0.005450195223080442,2048,0,165,False
149101620-149101650-001,moderate_dysplastic,baseline,20260803,False,12.0,-7.029437780380249,12.0,-7.0294376611709595,0.0,1.1920928955078125e-07,0.0,7.149384515670499e-09,7.149384515670499e-09,7.149384515670499e-09,2048,0,32,False
149102442-149102451-001,light_dysplastic,baseline,20260803,False,2.0,-0.5857862234115601,2.0,-0.5857864618301392,0.0,2.384185791015625e-07,0.0,1.5974563140373088e-08,1.5974563140373088e-08,1.5974563140373088e-08,2048,0,8,False
149102510-149102519-001,moderate_dysplastic,baseline,20260803,False,11.0,-6.443651080131531,11.0,-6.443651556968689,0.0,4.76837158203125e-07,0.0,3.0189229186707836e-08,3.0189229186707836e-08,3.0189229186707836e-08,2048,0,27,False
149105003-149105050-001,light_dysplastic,baseline,20260803,False,2.0,-1.171572208404541,2.0,-1.4142141342163086,0.0,0.24264192581176758,0.0,0.0167179590019026,0.0167179590019026,0.0167179590019026,2048,0,16,False
149105289-149105300-001,moderate_dysplastic,baseline,20260803,False,3.0,-4.0,3.0,-4.000000715255737,0.0,7.152557373046875e-07,0.0,5.134914211077762e-08,5.134914211077762e-08,5.134914211077762e-08,2048,0,13,False
149105289-149105300-002,moderate_dysplastic,baseline,20260803,False,8.0,-4.9289329051971436,8.0,-5.171573996543884,0.0,0.24264109134674072,0.0,0.012995861233790132,0.012995861233790132,0.012995861233790132,2048,0,26,False
149105289-149105311-001,moderate_dysplastic,baseline,20260803,False,16.0,-1.757359266281128,16.0,-1.7573601007461548,0.0,8.344650268554688e-07,0.0,5.643280145366953e-08,5.643280145366953e-08,5.643280145366953e-08,2048,0,36,False
149105289-149105311-003,moderate_dysplastic,baseline,20260803,False,27.0,-38.58578658103943,27.0,-37.89949572086334,0.0,0.6862908601760864,0.0,0.017786105221276508,0.017786105221276508,0.017786105221276508,2048,0,59,False
149105289-149105311-004,moderate_dysplastic,baseline,20260803,False,11.0,-1.757359266281128,11.0,-1.6568537950515747,0.0,0.10050547122955322,0.0,0.005961281569891733,0.005961281569891733,0.005961281569891733,2048,0,17,False
149140081-149140096-002,moderate_dysplastic,baseline,20260803,False,31.0,-16.402021765708923,31.0,-16.544156789779663,0.0,0.14213502407073975,0.0,0.007762913617810181,0.007762913617810181,0.007762913617810181,2048,0,57,False
149140849-149140856-001,moderate_dysplastic,baseline,20260803,False,39.0,-22.845672607421875,39.0,-22.987807869911194,0.0,0.14213526248931885,0.0,0.006221539848344993,0.006221539848344993,0.006221539848344993,2048,0,75,False
149143028-149143108-002,severe_dysplastic,baseline,20260803,False,5.0,-2.9289321899414062,5.0,-2.9289331436157227,0.0,9.5367431640625e-07,0.0,6.591374001158819e-08,6.591374001158819e-08,6.591374001158819e-08,2048,0,17,False
149143469-149143497-003,severe_dysplastic,baseline,20260803,False,5.0,-2.9289326667785645,5.0,-2.928932547569275,0.0,1.1920928955078125e-07,0.0,8.965102015162527e-09,8.965102015162527e-09,8.965102015162527e-09,2048,0,11,False
149146837-149146854-001,carcinoma_in_situ,baseline,20260803,False,4.0,-3.1715729236602783,4.0,-3.1715747117996216,0.0,1.7881393432617188e-06,0.0,1.126498996974688e-07,1.126498996974688e-07,1.126498996974688e-07,2048,0,32,False
149181904-149181927-001,carcinoma_in_situ,baseline,20260803,False,3.0,-1.7573591470718384,3.0,-1.7573602199554443,0.0,1.0728836059570312e-06,0.0,7.959715905859225e-08,7.959715905859225e-08,7.959715905859225e-08,2048,0,15,False
149181904-149181951-001,carcinoma_in_situ,baseline,20260803,False,1.0,-0.5857864618301392,1.0,-0.5857869386672974,0.0,4.76837158203125e-07,0.0,3.4961105120915146e-08,3.4961105120915146e-08,3.4961105120915146e-08,2048,0,7,False
149182125-149182135-002,carcinoma_in_situ,baseline,20260803,False,1.0,-0.5857864618301392,1.0,-0.5857867002487183,0.0,2.384185791015625e-07,0.0,1.5580367393647427e-08,1.5580367393647427e-08,1.5580367393647427e-08,2048,0,5,False
149182657-149182667-001,carcinoma_in_situ,baseline,20260803,False,9.0,-5.272078156471252,9.0,-5.5147188901901245,0.0,0.24264073371887207,0.0,0.017227744274922647,0.017227744274922647,0.017227744274922647,2048,0,21,False
149182657-149182681-002,carcinoma_in_situ,baseline,20260803,False,3.0,-1.7573596239089966,3.0,-1.7573596239089966,0.0,0.0,0.0,0.0,0.0,0.0,2048,0,11,False
149182657-149182698-003,carcinoma_in_situ,baseline,20260803,False,2.0,-1.1715724468231201,2.0,-1.1715739965438843,0.0,1.5497207641601562e-06,0.0,1.0627201561606235e-07,1.0627201561606235e-07,1.0627201561606235e-07,2048,0,12,False
149185604-149185616-001,carcinoma_in_situ,baseline,20260803,False,2.0,-1.1715729236602783,2.0,-1.414214015007019,0.0,0.24264109134674072,0.0,0.01591269887043081,0.01591269887043081,0.01591269887043081,2048,0,10,False
149185604-149185645-003,carcinoma_in_situ,baseline,20260803,False,3.0,-1.7573596239089966,3.0,-1.1715736389160156,0.0,0.585785984992981,0.0,0.03738021808214932,0.03738021808214932,0.03738021808214932,2048,0,17,False
149185604-149185657-001,carcinoma_in_situ,baseline,20260803,False,5.0,-2.928932547569275,5.0,-2.928932785987854,0.0,2.384185791015625e-07,0.0,1.7284560095027674e-08,1.7284560095027674e-08,1.7284560095027674e-08,2048,0,19,False
