cell_id,class,model,seed,raw_circularity_ae,closing_circularity_ae,dual_null_circularity_ae,benefit_closing,benefit_null,specific_advantage,raw_nucleus_dice,closing_nucleus_dice,dual_null_nucleus_dice,raw_foreground_dice,closing_foreground_dice,dual_null_foreground_dice,raw_nc_ae,closing_nc_ae,dual_null_nc_ae,raw_area_ae,closing_area_ae,dual_null_area_ae,raw_invalid,closing_invalid,dual_null_invalid,raw_pred_circularity,gt_circularity,roundness_group
148495842-148495854-001,light_dysplastic,baseline,20260803,0.05522064540691973,0.06417104129323303,0.06517959016737285,-0.0089503958863133,-0.009958944760453114,0.001008548874139814,0.9220575414123802,0.9226211223422796,0.9226211223422796,0.8876850340059489,0.8880576346014342,0.8880576346014342,0.16853812876828383,0.1680358055549434,0.1680358055549434,421,418,418,False,False,False,0.5447906954690341,0.4895700500621144,over_circular
148497551-148497588-001,light_dysplastic,baseline,20260803,0.0062052164833125145,0.020359729546686856,0.02225732403834635,-0.014154513063374341,-0.016052107555033834,0.0018975944916594933,0.9745318352059925,0.9743685687558465,0.9736202057998129,0.9380141865330833,0.9378491631353263,0.937251492999359,0.08526660664265706,0.08719967669046413,0.08719967669046413,110,115,115,False,False,False,0.8143746923911043,0.8205799088744168,under_circular
148497788-148497816-002,light_dysplastic,baseline,20260803,0.06848724925653693,0.009701893394850947,0.003658660441598016,0.058785355861685984,0.06482858881493891,-0.0060432329532529305,0.8869364161849711,0.8892470642413078,0.8837209302325582,0.8502255962480749,0.851536405374905,0.8487441208166239,0.03893441207057438,0.03789859463487612,0.03789859463487612,107,89,89,False,False,False,0.6778199330767907,0.7463071823333276,under_circular
148503209-148503222-001,light_dysplastic,baseline,20260803,0.30817096085927437,0.26385867096806165,0.2664730756907178,0.04431228989121272,0.04169788516855655,0.0026144047226561717,0.8595561146554048,0.8584229390681004,0.8568100358422939,0.8349497777491615,0.8342044230271044,0.8328342508585337,0.06683859219522037,0.07035055862864853,0.07035055862864853,1415,1446,1446,False,False,False,0.4432917986087102,0.7514627594679846,under_circular
148503209-148503231-001,light_dysplastic,baseline,20260803,0.28135231611922257,0.20909484893521574,0.20965791508819387,0.07225746718400683,0.0716944010310287,0.0005630661529781311,0.726113634552554,0.7220285261489698,0.7220285261489698,0.6213473357255997,0.616334659392712,0.6166864211327601,0.290627418592016,0.305113170110734,0.305113170110734,3437,3508,3508,False,False,False,0.3731285701169082,0.6544808862361308,under_circular
148503400-148503432-001,light_dysplastic,baseline,20260803,0.21042204011931287,0.11411730105168794,0.11828939399056448,0.09630473906762493,0.09213264612874839,0.004172092938876548,0.9012036513450198,0.9005067159977479,0.8974503337891097,0.8870134901958147,0.8863016917384707,0.8841118716339078,0.003362915120444454,0.008609013703029467,0.008609013703029467,399,453,453,False,False,False,0.46665970429632175,0.6770817444156346,under_circular
148503568-148503580-002,light_dysplastic,baseline,20260803,0.22364847578665442,0.2597281610332865,0.25989143930167874,-0.036079685246632076,-0.03624296351502432,0.0001632782683922418,0.9119079238601151,0.9119044987288604,0.9114623632143252,0.8841513318823443,0.8840745201067883,0.8837370040234653,0.09649813312966854,0.09863828709849892,0.09863828709849892,324,335,335,False,False,False,0.7104314916915524,0.486783015904898,over_circular
148718455-148718461-001,light_dysplastic,baseline,20260803,0.14754338587436444,0.016423218217635704,0.016323738897025764,0.13112016765672874,0.13121964697733868,-9.947932060994091e-05,0.9801861474333352,0.9816090645106189,0.9808119341798098,0.9416715831045076,0.9426324668454563,0.9420516290001226,0.047264039740215535,0.043679027721850894,0.043679027721850894,173,123,123,False,False,False,0.7206022058669193,0.8681455917412837,under_circular
148719308-148719348-004,light_dysplastic,baseline,20260803,0.022888543069386258,0.017723891668947722,0.017723890708142065,0.005164651400438536,0.005164652361244193,-9.608056572574242e-10,0.9568221070811744,0.9570222563315426,0.9566385264773599,0.9389165827664956,0.9390772901144218,0.9387537596178768,0.05967701677316295,0.06013405736795385,0.06013405736795385,169,170,170,False,False,False,0.8048270374223572,0.8277155804917434,under_circular
148719308-148719357-001,light_dysplastic,baseline,20260803,0.04178691616676067,0.001342517463546744,0.0013425220799337945,0.040444398703213924,0.040444394086826874,4.616387050404569e-09,0.9782923299565847,0.9785082174462706,0.9774245981578472,0.8943096044952609,0.8943929976120242,0.8936428546344792,0.02987584031287055,0.028223918535744907,0.028223918535744907,12,3,3,False,False,False,0.7529832045166213,0.7947701206833819,under_circular
148848523-148848559-002,moderate_dysplastic,baseline,20260803,0.0067571967643694775,0.0027721417308032015,0.002589562913397625,0.003985055033566276,0.0041676338509718525,-0.00018257881740557647,0.9387076667359235,0.9388179079671757,0.9379869118105328,0.7361314262686828,0.7362235428062199,0.7355306906854633,0.30062581378370856,0.30143231249815705,0.30143231249815705,266,265,265,False,False,False,0.830119344766647,0.8368765415310164,under_circular
