cell_id,delta_C_area,delta_C_perimeter,delta_C_full,interaction_C,identity_residual
148495842-148495854-001,0.0009600775913886084,0.012032611449375508,0.012825395940552542,1.4344460301352058e-05,0.0
148497551-148497588-001,0.0019227541975956886,0.01997291746506702,0.021941994625473082,4.632296281037451e-05,0.0
148497788-148497816-002,0.011182866016226423,0.08917615720945093,0.10202069075131937,0.0016616675256420077,0.0
148503209-148503222-001,0.0033703643714813047,0.04288302455634724,0.04655116309189672,0.00029777416406817636,0.0
148503209-148503231-001,0.005859199717579644,0.08174080655749771,0.08848906657314959,0.0008890602980722306,0.0
148503400-148503432-001,0.00722888806257127,0.10945674612578238,0.11785895131244462,0.0011733171240909668,0.0
148503568-148503580-002,0.002390588634934576,0.03338558323012286,0.036079685246632076,0.00012092242855821222,0.0
148718455-148718461-001,0.006185176089842259,0.11362760204146471,0.12086712278585765,0.0010543446545506763,0.0
148719308-148719348-004,0.0005148707716378098,0.005056639816515052,0.0055917550509339,3.167114335123067e-06,0.0
148719308-148719357-001,0.0042397703052898805,0.042518293327180934,0.04700383411413078,0.0002457704816599682,0.0
148848523-148848559-002,0.0002746710519720974,0.0038602753377687815,0.004136178916987809,1.2325272469304593e-06,0.0
148881870-148882178-002,0.002274038301058545,0.02242036035238515,0.02476127186984567,6.687321640197474e-05,0.0
148882307-148882323-001,0.00899635838377666,0.14264214765079375,0.15359570595427297,0.001914911695233168,0.0
148882535-148882616-001,0.006258373184382493,0.045693837382720204,0.050777732457435165,0.0009148070599187541,0.0
148882671-148882687-001,0.0044110537964767715,0.06255372438567286,0.06744021920600285,0.00047544102385321807,0.0
149011613-149011656-001,0.009558898072353328,0.13185151676494067,0.143177528981569,0.001767114144274995,0.0
149013033-149013072-001,0.0014031409177549525,0.013062873796502616,0.014490906915013091,2.4892200755521898e-05,0.0
149014929-149014984-001,0.0005833808623317838,0.007579641741561893,0.008168437278313179,5.414674419501608e-06,0.0
149014929-149015008-003,0.0022616318131231106,0.02921932403411953,0.0315976775144895,0.00011672166724685518,0.0
149014929-149015022-001,0.0030962739728428446,0.029139754355845482,0.033517197179291136,0.00021437549184544213,0.0
149014929-149015022-002,0.004634942877560055,0.06087041104297908,0.0659109763841752,0.00040562246363606835,0.0
149053341-149053350-001,0.004223771779888086,0.05737914766959329,0.0619257364964918,0.00032281704701042635,0.0
149053945-149053969-001,0.0022534267668079533,0.022476546640523676,0.024799483578081483,7.227185414959703e-05,0.0
149053945-149053976-001,0.008423836531250117,0.07121935589034012,0.08174546161812757,0.0011232391176162482,0.0
149054642-149054677-003,0.001669827570157545,0.015436980459346272,0.01713916313526387,3.2355105760051295e-05,0.0
149056321-149056343-001,0.003496033598053727,0.052632896266077256,0.05638536845607611,0.0002564385919451295,0.0
149056321-149056360-001,0.002805928917191336,0.0042669180337809864,0.004684704759560843,2.2948644857745393e-06,0.0
149056410-149056458-001,0.0008971081527902047,0.006879171587108379,0.007783574725675035,7.29498577645149e-06,0.0
149056873-149056884-001,0.0026971777326068036,0.022830760886654256,0.025605156525303818,7.721790604275913e-05,0.0
149056873-149056884-002,0.0016084461850067733,0.01145951540828194,0.013092864560492523,2.4902967203810356e-05,0.0
149056933-149056982-002,0.0011507956629184246,0.007294302103112105,0.008455705088526555,1.0607322496025695e-05,0.0
149057756-149057766-002,0.0009373033482543702,0.013540644317668549,0.01449362878267757,1.5681116754651114e-05,0.0
149057756-149057788-002,0.004749708428780197,0.05180568262647123,0.05574414986215159,0.0003797886988649024,0.0
149057812-149057825-003,0.004689139937817832,0.07151215659868759,0.07664619229029757,0.0004448957537921405,0.0
149057812-149057825-005,0.0006182470406169704,0.005702063291074699,0.0063244795224968176,4.169190805147771e-06,0.0
149057812-149057847-004,0.0,0.0,0.0,0.0,0.0
149057812-149057847-005,0.0015860280636380564,0.02141062207902067,0.023039239511364884,4.258936870615848e-05,0.0
149058262-149058272-003,0.001994495511160932,0.02229801673851184,0.0243707509048956,7.823865522282869e-05,0.0
149061666-149061699-003,0.0026791133600353456,0.02854285426759451,0.03132378518149759,0.0001018175538677335,0.0
149095913-149095926-001,0.007314806318367506,0.06774954265204747,0.07636613608439169,0.0016521935823269884,0.0
149097324-149097373-001,0.003335568407312084,0.03972289434214371,0.04324610534180817,0.00018764259235237724,0.0
149097594-149097637-001,0.004034125877972139,0.04150189117648795,0.045443801093021596,0.000399799588398253,0.0
149097594-149097637-002,0.00032248985688598797,0.003931606947098709,0.004255665264203068,1.5684602183707597e-06,0.0
149098972-149098988-002,0.0009989251250215325,0.012043617218998826,0.0134931897981867,1.972071134181963e-05,0.0
149099096-149099104-001,0.0,0.0,0.0,0.0,0.0
149099276-149099290-001,0.008093006220407872,0.09138331469303651,0.10152905523171707,0.0015838712156184265,0.0
149099276-149099290-002,0.010235693452574135,0.1115009804419601,0.12358355599993864,0.0018468821054044016,0.0
149099502-149099525-002,0.008888833140492491,0.11032757593152176,0.12085937486959819,0.001381264946951899,0.0
149100006-149100028-002,0.004081800716475237,0.014778028128736742,0.019156468095971296,0.0002966392507593174,0.0
149100064-149100072-001,0.006583557677886653,0.1121636721722824,0.1199478904422322,0.0012006605920631408,0.0
149101620-149101650-001,0.0026566757629240545,0.03407935731962697,0.036856853304672144,0.00012082022212112076,0.0
149102442-149102451-001,0.00037988898612728583,0.004543469526450017,0.00492536445938796,2.005946810657022e-06,0.0
149102510-149102519-001,0.002912673996104398,0.03365747153711174,0.0367016961602431,0.00013155062702696618,0.0
149105003-149105050-001,0.0016920116848107014,0.013550471330498914,0.015280680256551271,3.8197241241655355e-05,0.0
149105289-149105300-001,0.0,0.0,0.0,0.0,0.0
