cell_id,class,model,delta_closing_circularity_ae,delta_null_circularity_ae,delta_specific_circularity_ae,delta_closing_perimeter_ae,delta_null_perimeter_ae,delta_specific_perimeter_ae,delta_closing_nc_ae,delta_null_nc_ae,delta_specific_nc_ae,delta_closing_area_ae,delta_null_area_ae,delta_specific_area_ae,delta_closing_nucleus_dice,delta_null_nucleus_dice,delta_specific_nucleus_dice,delta_closing_foreground_dice,delta_null_foreground_dice,delta_specific_foreground_dice,closing_benefit_circularity_ae,null_benefit_circularity_ae,raw_circularity_signed_bias,roundness_group,raw_invalid_rate,closing_invalid_rate,null_invalid_rate
148495842-148495854-001,light_dysplastic,baseline,0.01602637400981033,0.010713732458034086,0.005312641551776243,2.58578622341156,2.0,0.5857862234115601,-0.0006164236341719698,0.011204764892554009,-0.011821188526725979,-3.0,10.0,-13.0,0.0005635809298993877,-0.0015335239451312876,0.0020971048750306753,0.0001320462676568379,-0.0002622755787351494,0.0003943218463919873,-0.01602637400981033,-0.010713732458034086,0.1480747988283474,over_circular,0.0,0.0,0.0
148497551-148497588-001,light_dysplastic,baseline,0.02153115430806085,0.007212259603412985,0.014318894704647867,0.0,0.04163157939910889,-0.04163157939910889,0.0018413320865262595,-0.02044631622416182,0.02228764831068808,5.0,-87.0,92.0,-9.630618938494262e-05,-9.630618938494262e-05,0.0,-2.949029142618187e-05,0.0007915148084924883,-0.0008210050999186702,-0.02153115430806085,-0.007212259603412985,0.008447609322240535,over_circular,0.0,0.0,0.0
148497788-148497816-002,light_dysplastic,baseline,-0.08902436241033274,0.01488373508365115,-0.10390809749398389,9.372583746910095,2.7451671361923218,6.627416610717773,-0.0007320800768678415,0.008848441400378118,-0.00958052147724596,-22.0,115.0,-137.0,0.005830709327216521,-0.024006422878145472,0.029837132205361994,0.003092127279041401,-0.008793188271278396,0.011885315550319797,0.08902436241033274,-0.01488373508365115,-0.09872625580518368,under_circular,0.0,0.0,0.0
148503209-148503222-001,light_dysplastic,baseline,-0.04431228989121272,-0.03672363084491631,-0.007588659046296409,-17.816234588623047,-17.715729594230652,-0.10050499439239502,0.0035119664334281597,-0.0058538291783427066,0.009365795611770866,28.0,-132.0,160.0,-0.0016529090836395754,0.007201968045341456,-0.008854877128981031,-0.0007453547220570567,0.0015133337599739782,-0.002258688482031035,0.04431228989121272,0.03672363084491631,-0.30817096085927437,under_circular,0.0,0.0,0.0
148503209-148503231-001,light_dysplastic,baseline,-0.0783362812822439,-0.001789382569042819,-0.07654689871320108,-27.18881928920746,-10.176626086235046,-17.012193202972412,0.011277447718617939,-0.054610794005283125,0.06588824172390106,45.0,-226.0,271.0,-0.0034107043579644225,0.017195165471228346,-0.02060586982919277,-0.003421807230485352,0.016939306998101755,-0.020361114228587107,0.0783362812822439,0.001789382569042819,-0.11578209186306188,under_circular,0.0,0.0,0.0
148503400-148503432-001,light_dysplastic,baseline,0.11243664965100564,0.011297306426854448,0.10113934322415119,22.502526998519897,4.904547452926636,17.59797954559326,-0.004981380846897088,0.0130789445904414,-0.018060325437338487,-47.0,125.0,-172.0,0.006035529725775035,-0.024150759966615087,0.030186289692390122,0.004027574072523521,-0.01596152986384325,0.01998910393636677,-0.11243664965100564,-0.011297306426854448,-0.0027111508307194887,under_circular,0.0,0.0,0.0
148503568-148503580-002,light_dysplastic,baseline,0.03601922256120005,0.019948596008656616,0.016070626552543432,6.443651556968689,2.2010103464126587,4.24264121055603,0.0021401539688303828,-0.013484384333182331,0.015624538302012714,9.0,-70.0,79.0,0.0019647839441044868,-0.007202995317132754,0.009167779261237241,0.001308287159692334,-0.004060670688930346,0.00536895784862268,-0.03601922256120005,-0.019948596008656616,0.18117885579786047,over_circular,0.0,0.0,0.0
148718455-148718461-001,light_dysplastic,baseline,-0.13112016765672874,-0.014155174941110737,-0.116964992715618,-26.720781087875366,-5.407073974609375,-21.31370711326599,0.006621622632243029,0.012059442733687642,-0.005437820101444613,-53.0,151.0,-204.0,0.0022469014961959966,-0.006805821870067286,0.009052723366263282,0.0015598975591233355,-0.004715532391962984,0.00627542995108632,0.13112016765672874,0.014155174941110737,-0.14754338587436444,under_circular,0.0,0.0,0.0
148719308-148719348-004,light_dysplastic,baseline,-0.005595126118119409,-0.004877145416294804,-0.0007179807018246054,0.5857864618301392,0.5857865810394287,-1.1920928955078125e-07,0.0004927760322196439,-0.006365696325128289,0.006858472357347933,1.0,-18.0,19.0,0.00021358242150715245,0.00019768307317746814,1.5899348329684315e-05,-0.0001723215292017688,-0.00014743277598339155,-2.4888753218377246e-05,0.005595126118119409,0.004877145416294804,-0.021452859224343257,under_circular,0.0,0.0,0.0
148719308-148719357-001,light_dysplastic,baseline,-0.04301533717799921,-0.009592884425711157,-0.03342245275228806,-4.502525329589844,-4.301514387130737,-0.20101094245910645,-0.0022085648408891045,0.0056727435109540925,-0.007881308351843197,10.0,88.0,-78.0,-0.0003106018639998931,-0.005238473767885554,0.004927871903885661,-0.00030159519382444433,0.0012611487215239414,-0.0015627439153483857,0.04301533717799921,0.009592884425711157,-0.05004608662644028,under_circular,0.0,0.0,0.0
