class,model,n,foreground_dice,nucleus_dice,cytoplasm_dice,mean_nc_absolute_error,median_nc_absolute_error,mean_circularity_absolute_error,invalid_nc_rate,invalid_circularity_rate
light_dysplastic,baseline,66,0.8541033412314952,0.9008601880898551,0.8073464943731354,0.1167532976466161,0.0788245619803915,0.14983702367154722,0.0,0.0
moderate_dysplastic,baseline,42,0.8198457185044478,0.8953891364221591,0.7443023005867365,0.2118530570205429,0.157767657918954,0.11403129926713558,0.0,0.0
severe_dysplastic,baseline,72,0.837557200630756,0.9137293990170955,0.7613850022444164,0.262036470096698,0.16549786663445842,0.06604616738815437,0.0,0.0
carcinoma_in_situ,baseline,63,0.7974015940919401,0.9156545898643695,0.679148598319511,0.747662490831699,0.302467067925141,0.10259072036728319,0.0,0.0
normal_columnar,baseline,39,0.8165689719333,0.8883785440019972,0.7447593998646025,0.14277804803783964,0.11376038573364922,0.08320590321903983,0.0,0.0
normal_superficiel,baseline,27,0.8427089188265691,0.7978594276156451,0.8875584100374929,0.007237398910761473,0.002452892556047701,0.2204095793445091,0.0,0.0
normal_intermediate,baseline,21,0.9003082624000885,0.8813991530809991,0.9192173717191782,0.007616473857482863,0.003290359069350126,0.12679443802465246,0.0,0.0
light_dysplastic,nc_aware_lambda_0p10,66,0.8566951776536218,0.9091483885796917,0.804241966727552,0.11582649154433161,0.07586860856126015,0.1383105598510762,0.0,0.0
moderate_dysplastic,nc_aware_lambda_0p10,42,0.823847027950637,0.8956641104544941,0.7520299454467799,0.210917698076078,0.1656442241407718,0.12578229346011024,0.0,0.0
severe_dysplastic,nc_aware_lambda_0p10,72,0.8183993991100783,0.902697766975291,0.7341010312448657,0.27580852572672243,0.13068479141407213,0.08047423238229416,0.0,0.0
carcinoma_in_situ,nc_aware_lambda_0p10,63,0.7783134916057634,0.8920986156437717,0.6645283675677552,0.7249578264124235,0.24397985116946108,0.10591693283329381,0.0,0.0
normal_columnar,nc_aware_lambda_0p10,39,0.8125546111719958,0.8866774851950192,0.7384317371489723,0.12697195238646275,0.0724325301851455,0.08745970153630345,0.0,0.0
normal_superficiel,nc_aware_lambda_0p10,27,0.8535687436285634,0.830766338463971,0.8763711487931559,0.0060612593891505966,0.002090200244819415,0.20091092527634444,0.0,0.0
normal_intermediate,nc_aware_lambda_0p10,21,0.8800064651478609,0.8412304912448595,0.9187824390508627,0.012374608162386438,0.006830698678020518,0.14439657071054732,0.0,0.0
