model,degradation,severity,metric,observed_mean,ci_low,ci_high,bootstrap_repeats,bootstrap_seed
baseline,gaussian_blur,1,delta_foreground_dice,-0.000462986342432499,-0.0011014044938977869,0.00017736557717863984,5000,20260804
baseline,gaussian_blur,1,delta_nc_absolute_error,0.0014512020438927312,-0.0020578778839731933,0.004881175253290008,5000,20260804
baseline,gaussian_blur,1,delta_circularity_absolute_error,-0.001610555240016684,-0.0050356923096377985,0.00189563741254873,5000,20260804
baseline,gaussian_blur,2,delta_foreground_dice,-0.003096391450617453,-0.004952174716336024,-0.0012395688807582466,5000,20260804
baseline,gaussian_blur,2,delta_nc_absolute_error,0.007503319728427871,-0.0036188916909104902,0.01823492073276079,5000,20260804
baseline,gaussian_blur,2,delta_circularity_absolute_error,-0.00601215813819952,-0.014026552988975908,0.0016286967769233386,5000,20260804
baseline,gaussian_blur,3,delta_foreground_dice,-0.008518933758094902,-0.01185613430721844,-0.005339669284656627,5000,20260804
baseline,gaussian_blur,3,delta_nc_absolute_error,0.02003169840921486,0.002288253773323358,0.03795056490770179,5000,20260804
baseline,gaussian_blur,3,delta_circularity_absolute_error,-0.007230106798049613,-0.017792238304608094,0.0031090196002927922,5000,20260804
baseline,gaussian_noise,10,delta_foreground_dice,-0.0011141429059264118,-0.003114736506561437,0.0007848935456075879,5000,20260804
baseline,gaussian_noise,10,delta_nc_absolute_error,-0.004197859564855162,-0.0137686508043295,0.0039180934869329515,5000,20260804
baseline,gaussian_noise,10,delta_circularity_absolute_error,0.0008426794730465515,-0.005505981350664745,0.007606244042534478,5000,20260804
baseline,gaussian_noise,20,delta_foreground_dice,-0.016224845950281157,-0.022534149355750006,-0.010377683012376085,5000,20260804
baseline,gaussian_noise,20,delta_nc_absolute_error,0.017279577165979616,-0.00861886544668184,0.04190708702637711,5000,20260804
baseline,gaussian_noise,20,delta_circularity_absolute_error,0.053552674072635593,0.038506335938386885,0.06963166920700445,5000,20260804
baseline,gaussian_noise,30,delta_foreground_dice,-0.07000238719647622,-0.08470904676490645,-0.056572854613951826,5000,20260804
baseline,gaussian_noise,30,delta_nc_absolute_error,0.09461394991172928,0.04987969882224668,0.1441368276348199,5000,20260804
baseline,gaussian_noise,30,delta_circularity_absolute_error,0.1367531243423452,0.11352468146358477,0.16106949319599415,5000,20260804
nc_aware_lambda_0p10,gaussian_blur,1,delta_foreground_dice,0.00015691224887968115,-0.0006121012873146935,0.0009970611424026587,5000,20260804
nc_aware_lambda_0p10,gaussian_blur,1,delta_nc_absolute_error,-0.003854663441628183,-0.00806287910814511,2.6662403825242624e-05,5000,20260804
nc_aware_lambda_0p10,gaussian_blur,1,delta_circularity_absolute_error,-0.005783041096751186,-0.010485393607198435,-0.001313297311379843,5000,20260804
nc_aware_lambda_0p10,gaussian_blur,2,delta_foreground_dice,-0.0011519345288868537,-0.003310774947085395,0.0012307495767499574,5000,20260804
nc_aware_lambda_0p10,gaussian_blur,2,delta_nc_absolute_error,-0.006752791415460963,-0.01814503002120567,0.003962932101708897,5000,20260804
nc_aware_lambda_0p10,gaussian_blur,2,delta_circularity_absolute_error,-0.008708869878522207,-0.016708110587860488,-0.0011540605984224973,5000,20260804
nc_aware_lambda_0p10,gaussian_blur,3,delta_foreground_dice,-0.005837175641410425,-0.00928165710368991,-0.0023100987764936047,5000,20260804
nc_aware_lambda_0p10,gaussian_blur,3,delta_nc_absolute_error,-0.00019951945336016248,-0.018478909834775403,0.01731043504429953,5000,20260804
nc_aware_lambda_0p10,gaussian_blur,3,delta_circularity_absolute_error,-0.013228487635634044,-0.02366012860340146,-0.0029354024458541055,5000,20260804
nc_aware_lambda_0p10,gaussian_noise,10,delta_foreground_dice,-0.003023377408346263,-0.0051192868953922836,-0.0010980744034118721,5000,20260804
nc_aware_lambda_0p10,gaussian_noise,10,delta_nc_absolute_error,-0.0017952834026774597,-0.010624345069604245,0.007351357383937047,5000,20260804
nc_aware_lambda_0p10,gaussian_noise,10,delta_circularity_absolute_error,0.011864378063581963,0.0056413336999695165,0.018588501123008243,5000,20260804
nc_aware_lambda_0p10,gaussian_noise,20,delta_foreground_dice,-0.024324550108861746,-0.03238811666852653,-0.017086061709771685,5000,20260804
nc_aware_lambda_0p10,gaussian_noise,20,delta_nc_absolute_error,0.01720869344684706,-0.014592793295609658,0.04765818146481928,5000,20260804
nc_aware_lambda_0p10,gaussian_noise,20,delta_circularity_absolute_error,0.0552085925320055,0.04046487652669859,0.07069656406538957,5000,20260804
nc_aware_lambda_0p10,gaussian_noise,30,delta_foreground_dice,-0.09644745197816564,-0.11115235294279248,-0.08290873654207705,5000,20260804
nc_aware_lambda_0p10,gaussian_noise,30,delta_nc_absolute_error,0.09828173042759744,0.047347857096876396,0.15028032315869366,5000,20260804
nc_aware_lambda_0p10,gaussian_noise,30,delta_circularity_absolute_error,0.1236385284501605,0.10263508648662814,0.14533803853238175,5000,20260804
