seed,model,target,degradation,severity,nominal_coverage,clean_coverage,empirical_coverage,coverage_gap,coverage_delta_vs_clean,below_nominal,frozen_quantile
20260803,baseline,nc,clean,clean,0.9,0.9021739130434783,0.9021739130434783,0.0021739130434782483,0.0,False,0.8579718748153826
20260803,baseline,nc,gaussian_blur,1.0,0.9,0.9021739130434783,0.9021739130434783,0.0021739130434782483,0.0,False,0.8579718748153826
20260803,baseline,nc,gaussian_blur,2.0,0.9,0.9021739130434783,0.8967391304347826,-0.003260869565217428,-0.005434782608695676,True,0.8579718748153826
20260803,baseline,nc,gaussian_blur,3.0,0.9,0.9021739130434783,0.9021739130434783,0.0021739130434782483,0.0,False,0.8579718748153826
20260803,baseline,nc,gaussian_noise,10.0,0.9,0.9021739130434783,0.9021739130434783,0.0021739130434782483,0.0,False,0.8579718748153826
20260803,baseline,nc,gaussian_noise,20.0,0.9,0.9021739130434783,0.8858695652173914,-0.01413043478260867,-0.016304347826086918,True,0.8579718748153826
20260803,baseline,nc,gaussian_noise,30.0,0.9,0.9021739130434783,0.8315217391304348,-0.06847826086956521,-0.07065217391304346,True,0.8579718748153826
20260803,baseline,circularity,clean,clean,0.9,0.8461538461538461,0.8461538461538461,-0.05384615384615388,0.0,True,0.24990006542312204
20260803,baseline,circularity,gaussian_blur,1.0,0.9,0.8461538461538461,0.8461538461538461,-0.05384615384615388,0.0,True,0.24990006542312204
20260803,baseline,circularity,gaussian_blur,2.0,0.9,0.8461538461538461,0.8571428571428571,-0.04285714285714293,0.01098901098901095,True,0.24990006542312204
20260803,baseline,circularity,gaussian_blur,3.0,0.9,0.8461538461538461,0.8688524590163934,-0.031147540983606614,0.022698612862547263,True,0.24990006542312204
20260803,baseline,circularity,gaussian_noise,10.0,0.9,0.8461538461538461,0.8571428571428571,-0.04285714285714293,0.01098901098901095,True,0.24990006542312204
20260803,baseline,circularity,gaussian_noise,20.0,0.9,0.8461538461538461,0.6740331491712708,-0.22596685082872925,-0.17212069698257537,True,0.24990006542312204
20260803,baseline,circularity,gaussian_noise,30.0,0.9,0.8461538461538461,0.4157303370786517,-0.4842696629213483,-0.43042350907519444,True,0.24990006542312204
20260803,nc_aware_lambda_0p10,nc,clean,clean,0.9,0.8369565217391305,0.8369565217391305,-0.06304347826086953,0.0,True,0.6025470122216825
20260803,nc_aware_lambda_0p10,nc,gaussian_blur,1.0,0.9,0.8369565217391305,0.8315217391304348,-0.06847826086956521,-0.005434782608695676,True,0.6025470122216825
20260803,nc_aware_lambda_0p10,nc,gaussian_blur,2.0,0.9,0.8369565217391305,0.8369565217391305,-0.06304347826086953,0.0,True,0.6025470122216825
20260803,nc_aware_lambda_0p10,nc,gaussian_blur,3.0,0.9,0.8369565217391305,0.8315217391304348,-0.06847826086956521,-0.005434782608695676,True,0.6025470122216825
20260803,nc_aware_lambda_0p10,nc,gaussian_noise,10.0,0.9,0.8369565217391305,0.8369565217391305,-0.06304347826086953,0.0,True,0.6025470122216825
20260803,nc_aware_lambda_0p10,nc,gaussian_noise,20.0,0.9,0.8369565217391305,0.842391304347826,-0.05760869565217397,0.005434782608695565,True,0.6025470122216825
20260803,nc_aware_lambda_0p10,nc,gaussian_noise,30.0,0.9,0.8369565217391305,0.842391304347826,-0.05760869565217397,0.005434782608695565,True,0.6025470122216825
20260803,nc_aware_lambda_0p10,circularity,clean,clean,0.9,0.8351648351648352,0.8351648351648352,-0.06483516483516483,0.0,True,0.23847686210263608
20260803,nc_aware_lambda_0p10,circularity,gaussian_blur,1.0,0.9,0.8351648351648352,0.8516483516483516,-0.0483516483516484,0.016483516483516425,True,0.23847686210263608
20260803,nc_aware_lambda_0p10,circularity,gaussian_blur,2.0,0.9,0.8351648351648352,0.8461538461538461,-0.05384615384615388,0.01098901098901095,True,0.23847686210263608
20260803,nc_aware_lambda_0p10,circularity,gaussian_blur,3.0,0.9,0.8351648351648352,0.8571428571428571,-0.04285714285714293,0.0219780219780219,True,0.23847686210263608
20260803,nc_aware_lambda_0p10,circularity,gaussian_noise,10.0,0.9,0.8351648351648352,0.8186813186813187,-0.08131868131868136,-0.016483516483516536,True,0.23847686210263608
20260803,nc_aware_lambda_0p10,circularity,gaussian_noise,20.0,0.9,0.8351648351648352,0.7802197802197802,-0.1197802197802198,-0.05494505494505497,True,0.23847686210263608
20260803,nc_aware_lambda_0p10,circularity,gaussian_noise,30.0,0.9,0.8351648351648352,0.6593406593406593,-0.2406593406593407,-0.17582417582417587,True,0.23847686210263608
20260804,baseline,nc,clean,clean,0.9,0.8804347826086957,0.8804347826086957,-0.019565217391304346,0.0,True,0.6263332419096694
