split,seed,model,degradation,severity,foreground_dice,nucleus_dice,cytoplasm_dice,mean_nc_absolute_error,median_nc_absolute_error,mean_circularity_absolute_error,invalid_nc_rate,invalid_circularity_rate
calibration,20260803,baseline,clean,clean,0.8187108860597098,0.8620771506391548,0.7753446214802648,0.2618679250020426,0.08465874849337096,0.1153892663117384,0.0,0.01639344262295082
calibration,20260803,baseline,gaussian_blur,1,0.8176338842538181,0.8624097106945076,0.7728580578131286,0.26458063991290204,0.07466779310946847,0.11277053809891306,0.0,0.01639344262295082
calibration,20260803,baseline,gaussian_blur,2,0.8146380939396557,0.8618071865343755,0.767469001344936,0.27246463983353886,0.08362704494837447,0.11484548574092736,0.0,0.00546448087431694
calibration,20260803,baseline,gaussian_blur,3,0.8091567029155922,0.8580064219601425,0.760306983871042,0.2810462141095714,0.08035081616434353,0.11443119745319634,0.0,0.0
calibration,20260803,baseline,gaussian_noise,10,0.8131754121564105,0.852170608228728,0.7741802160840935,0.27130793653245106,0.07930195206052476,0.12794245762623835,0.0,0.01639344262295082
calibration,20260803,baseline,gaussian_noise,20,0.789443140622864,0.8158217730008914,0.7630645082448366,0.31886186392751736,0.0921467167576635,0.18038965690314737,0.0,0.03278688524590164
calibration,20260803,baseline,gaussian_noise,30,0.7192015964632745,0.7138645002528313,0.7245386926737176,0.4048617669113917,0.12791668669253603,0.28019665155287254,0.02185792349726776,0.04918032786885246
calibration,20260803,nc_aware_lambda_0p10,clean,clean,0.8333000250459067,0.885198378642981,0.7814016714488323,0.2826584170833037,0.0962446769388201,0.1166408169139375,0.0,0.0
calibration,20260803,nc_aware_lambda_0p10,gaussian_blur,1,0.8315073539551516,0.8819852744063609,0.7810294335039425,0.2786428077981984,0.09772773477267649,0.11454726426903097,0.0,0.0
calibration,20260803,nc_aware_lambda_0p10,gaussian_blur,2,0.8265250662844569,0.8750264164716778,0.7780237160972358,0.28196393876651943,0.1023353866252705,0.11813665085678687,0.0,0.0
calibration,20260803,nc_aware_lambda_0p10,gaussian_blur,3,0.8195377659359041,0.8657949198330018,0.7732806120388064,0.2918139678859583,0.11016187897260477,0.11602120079713335,0.0,0.0
