split,cell_id,class,seed,model,degradation,severity,clean_foreground_dice,degraded_foreground_dice,delta_foreground_dice,clean_nucleus_dice,degraded_nucleus_dice,delta_nucleus_dice,clean_cytoplasm_dice,degraded_cytoplasm_dice,delta_cytoplasm_dice,clean_nc_absolute_error,degraded_nc_absolute_error,delta_nc_absolute_error,clean_circularity_absolute_error,degraded_circularity_absolute_error,delta_circularity_absolute_error,clean_nucleus_area_absolute_error,degraded_nucleus_area_absolute_error,delta_nucleus_area_absolute_error,clean_cytoplasm_area_absolute_error,degraded_cytoplasm_area_absolute_error,delta_cytoplasm_area_absolute_error
calibration,148497676-148497718-001,light_dysplastic,20260803,baseline,gaussian_blur,1,0.9390103630893591,0.9349143637480838,-0.004095999341275358,0.9740962140620553,0.970185106683623,-0.003911107378432255,0.9039245121166631,0.8996436208125446,-0.0042808913041185725,0.021309513785056272,0.019187026091697812,-0.00212248769335846,0.0561570267673307,0.10433022139405912,0.04817319462672842,28,79,51,1296,1378,82
calibration,148710162-148710195-001,light_dysplastic,20260803,baseline,gaussian_noise,10,0.8683251705934278,0.8667396947364175,-0.001585475857010299,0.8696320491882025,0.8660809114608478,-0.003551137727354714,0.8670182919986533,0.8673984780119873,0.00038018601333400515,0.07996535545916844,0.08213411733878453,0.0021687618796160935,0.3332514102771413,0.3959058655102113,0.06265445523307,1317,1369,52,1973,1965,-8
calibration,148848523-148848538-001,moderate_dysplastic,20260803,baseline,gaussian_blur,1,0.7232491282238616,0.7249019435693154,0.0016528153454538064,0.9133398247322297,0.9110070257611241,-0.0023327989711056096,0.5331584317154934,0.5387968613775065,0.005638429662013111,0.800361246067189,0.8438859435991666,0.04352469753197763,0.0011252231698338777,0.015313072214752754,0.014187849044918877,211,362,151,1749,1728,-21
calibration,148848523-148848538-001,moderate_dysplastic,20260803,baseline,gaussian_blur,2,0.7232491282238616,0.7200624624164544,-0.0031866658074071186,0.9133398247322297,0.9068885611965452,-0.006451263535684593,0.5331584317154934,0.5332363636363636,7.793192087024448e-05,0.800361246067189,0.8879522047027029,0.08759095863551392,0.0011252231698338777,0.03978401633229889,0.03865879316246501,211,462,251,1749,1735,-14
calibration,148883900-148883907-001,light_dysplastic,20260803,baseline,gaussian_noise,10,0.9172780775512707,0.918598992978978,0.001320915427707292,0.9760835509138381,0.9732334047109208,-0.0028501462029173474,0.8584726041887032,0.8639645812470352,0.005491977058332043,0.0065643317769491505,0.034007483631016744,0.027443151854067593,0.012991399860354247,0.003380027132692698,-0.009611372727661549,177,58,-119,472,537,65
calibration,149014631-149014646-001,moderate_dysplastic,20260803,baseline,gaussian_noise,20,0.9193624069537014,0.9203682978974634,0.0010058909437620223,0.9467110741049126,0.9746779209240337,0.027966846819121094,0.8920137398024903,0.8660586748708933,-0.02595506493159705,0.08714861210856889,0.044926550966139456,-0.042222061142429435,0.003504821637556388,0.0905945132096242,0.0870896915720678,256,46,-210,290,505,215
calibration,149053341-149053350-002,moderate_dysplastic,20260803,baseline,gaussian_blur,3,0.831878139513129,0.8326937584838332,0.0008156189707042572,0.9593537633029876,0.960912906610703,0.0015591433077154493,0.7044025157232704,0.7044746103569633,7.209463369295399e-05,0.17041480863298525,0.19775603773934858,0.02734122910636333,0.04860390013096516,0.02409661288403564,-0.02450728724692952,263,88,-175,4540,5032,492
calibration,149054642-149054677-002,light_dysplastic,20260803,baseline,gaussian_noise,10,0.7754012307906915,0.7782471669201194,0.0028459361294279617,0.8393884135222331,0.8445436784817192,0.005155264959486039,0.7114140480591498,0.7119506553585196,0.0005366072993698845,0.24938929275383337,0.2468480655926333,-0.0025412271612000603,0.22711406702606785,0.31406373279274913,0.08694966576668128,985,948,-37,7280,7252,-28
calibration,149054642-149054677-002,light_dysplastic,20260803,baseline,gaussian_noise,30,0.7754012307906915,0.7703957404039257,-0.005005490386765787,0.8393884135222331,0.8229988726042841,-0.016389540917949086,0.7114140480591498,0.7177926082035672,0.0063785601444174,0.24938929275383337,0.2475001343755759,-0.0018891583782574828,0.22711406702606785,0.44553141165946747,0.21841734463339962,985,1018,33,7280,6935,-345
calibration,149056545-149056555-001,severe_dysplastic,20260803,baseline,gaussian_noise,20,0.878103849131834,0.879423361847169,0.001319512715334925,0.9474118374922664,0.9474370112945265,2.5173802260081146e-05,0.8087958607714016,0.8114097123998114,0.002613851628409769,0.028048959305836285,0.027199648686857647,-0.0008493106189786381,0.01742918915609637,0.16955708344206044,0.15212789428596407,109,136,27,18,38,20
