split,cell_id,class,seed,model,degradation,severity,clean_foreground_dice,degraded_foreground_dice,delta_foreground_dice,clean_nucleus_dice,degraded_nucleus_dice,delta_nucleus_dice,clean_cytoplasm_dice,degraded_cytoplasm_dice,delta_cytoplasm_dice,clean_nc_absolute_error,degraded_nc_absolute_error,delta_nc_absolute_error,clean_circularity_absolute_error,degraded_circularity_absolute_error,delta_circularity_absolute_error,clean_nucleus_area_absolute_error,degraded_nucleus_area_absolute_error,delta_nucleus_area_absolute_error,clean_cytoplasm_area_absolute_error,degraded_cytoplasm_area_absolute_error,delta_cytoplasm_area_absolute_error
test,148503400-148503432-001,light_dysplastic,20260803,baseline,gaussian_blur,3.0,0.8870134901958147,0.8821648294018916,-0.004848660793923099,0.9012036513450198,0.901797603195739,0.0005939518507191988,0.8728233290466094,0.8625320556080442,-0.010291273438565174,0.003362915120444454,0.04367935372632076,0.040316438605876304,0.21042204011931287,0.023344541185986944,-0.18707749893332593,399.0,36.0,-363.0,815.0,1680.0,865.0
test,148503400-148503432-001,light_dysplastic,20260803,baseline,gaussian_noise,30.0,0.8870134901958147,0.8804908358520287,-0.006522654343785961,0.9012036513450198,0.8898767088819928,-0.011326942463027012,0.8728233290466094,0.8711049628220646,-0.0017183662245447984,0.003362915120444454,0.03132896803480234,0.027966052914357886,0.21042204011931287,0.3311235183210898,0.12070147820177696,399.0,57.0,-342.0,815.0,959.0,144.0
test,148719308-148719357-001,light_dysplastic,20260803,baseline,gaussian_noise,20.0,0.8943096044952609,0.8901063409662834,-0.0042032635289774856,0.9782923299565847,0.9486255924170616,-0.02966673753952309,0.8103268790339371,0.8315870895155052,0.02126021048156812,0.02987584031287055,0.055089299178668394,0.025213458865797844,0.04178691616676067,0.10537529634135956,0.06358838017459889,12.0,265.0,253.0,529.0,341.0,-188.0
test,148848523-148848559-002,moderate_dysplastic,20260803,baseline,gaussian_blur,1.0,0.7361314262686828,0.7379866029436607,0.0018551766749779208,0.9387076667359235,0.9387796887796888,7.202204376521859e-05,0.533555185801442,0.5371935171076326,0.003638331306190623,0.30062581378370856,0.3428278874464563,0.04220207366274775,0.0067571967643694775,0.002119606895539472,-0.0046375898688300055,266.0,124.0,-142.0,996.0,989.0,-7.0
test,148848523-148848559-002,moderate_dysplastic,20260803,baseline,gaussian_blur,2.0,0.7361314262686828,0.7380101784773327,0.0018787522086499697,0.9387076667359235,0.9366883116883117,-0.0020193550476118594,0.533555185801442,0.5393320452663538,0.005776859464911799,0.30062581378370856,0.357533225878899,0.05690741209519046,0.0067571967643694775,0.014943250227866578,0.0081860534634971,266.0,36.0,-230.0,996.0,962.0,-34.0
test,148848523-148848559-002,moderate_dysplastic,20260803,baseline,gaussian_blur,3.0,0.7361314262686828,0.7362461319048048,0.00011470563612203666,0.9387076667359235,0.9339251487945123,-0.004782517941411268,0.533555185801442,0.5385671150150975,0.005011929213655453,0.30062581378370856,0.35580225268107757,0.05517643889736901,0.0067571967643694775,0.01734731728062533,0.010590120516255852,266.0,21.0,-245.0,996.0,922.0,-74.0
test,149013033-149013072-001,moderate_dysplastic,20260803,baseline,gaussian_blur,3.0,0.9078143320057144,0.8997278615354471,-0.008086470470267226,0.9780965303353363,0.9766115231032516,-0.0014850072320846675,0.8375321336760926,0.8228441999676428,-0.014687933708449785,0.033033730974907416,0.062348784909760535,0.02931505393485312,0.01588084529235312,0.011663456921295778,-0.00421738837105734,91.0,9.0,-82.0,230.0,922.0,692.0
test,149056321-149056343-001,severe_dysplastic,20260803,baseline,gaussian_noise,30.0,0.9513873584117236,0.9424380583778704,-0.008949300033853191,0.986052764241304,0.9698129621574597,-0.016239802083844235,0.9167219525821433,0.9150631545982811,-0.001658797983862148,0.006673699434358804,0.03721962823649094,0.03054592880213214,0.06361032119535603,0.09069815336655318,0.027087832171197146,116.0,291.0,175.0,509.0,609.0,100.0
test,149056410-149056458-001,severe_dysplastic,20260803,baseline,gaussian_blur,1.0,0.8799056394382757,0.871844996250339,-0.008060643187936756,0.9294245385450597,0.920487106017192,-0.008937432527867717,0.8303867403314917,0.8232028864834859,-0.0071838538480057945,0.2900631024200818,0.3183927136552629,0.028329611235181074,0.0640445448403767,0.07160466280227484,0.0075601179618981496,191.0,220.0,29.0,428.0,445.0,17.0
test,149057756-149057788-002,moderate_dysplastic,20260803,baseline,gaussian_noise,30.0,0.8066245835304471,0.8000696212364125,-0.0065549622940346275,0.9212004493660728,0.8969072164948454,-0.02429323287122742,0.6920487176948212,0.7032320259779796,0.011183308283158389,0.3394402432617858,0.3705187633212786,0.031078520059492798,0.36344651365440883,0.17029137621978052,-0.1931551374346283,312.0,316.0,4.0,5630.0,5141.0,-489.0
