model,degradation,severity,metric,spearman_rho,pvalue,n
baseline,clean,clean,nc_absolute_error,-0.6109988928634569,8.548340945438656e-58,552
baseline,clean,clean,circularity_absolute_error,-0.3065710991080662,1.9656278848408726e-13,550
baseline,gaussian_blur,1.0,nc_absolute_error,-0.6110481211283574,8.324950273643788e-58,552
baseline,gaussian_blur,1.0,circularity_absolute_error,-0.29285156464829787,2.442829666805745e-12,550
baseline,gaussian_blur,2.0,nc_absolute_error,-0.5989605130812341,4.837361677756473e-55,552
baseline,gaussian_blur,2.0,circularity_absolute_error,-0.27937553415278976,2.552813251468583e-11,550
baseline,gaussian_blur,3.0,nc_absolute_error,-0.6091516200593907,2.3012576513126733e-57,552
baseline,gaussian_blur,3.0,circularity_absolute_error,-0.24013996139431265,1.1797851607987703e-08,550
baseline,gaussian_noise,10.0,nc_absolute_error,-0.590571517324996,3.4270982053949075e-53,552
baseline,gaussian_noise,10.0,circularity_absolute_error,-0.282868180781364,1.4064357073860074e-11,550
baseline,gaussian_noise,20.0,nc_absolute_error,-0.6506962089527237,9.04675212948543e-68,552
baseline,gaussian_noise,20.0,circularity_absolute_error,-0.3639743854725308,1.2202444871766457e-18,549
baseline,gaussian_noise,30.0,nc_absolute_error,-0.7267583729787337,9.089508450076507e-92,552
baseline,gaussian_noise,30.0,circularity_absolute_error,-0.5259543066664479,3.6085198590774127e-40,546
nc_aware_lambda_0p10,clean,clean,nc_absolute_error,-0.6431459002753042,9.290059968819875e-66,552
nc_aware_lambda_0p10,clean,clean,circularity_absolute_error,-0.28958600614213836,4.989778083309511e-12,547
nc_aware_lambda_0p10,gaussian_blur,1.0,nc_absolute_error,-0.6426632492261268,1.243594061164059e-65,552
nc_aware_lambda_0p10,gaussian_blur,1.0,circularity_absolute_error,-0.24903221653245,3.5410653008697434e-09,547
nc_aware_lambda_0p10,gaussian_blur,2.0,nc_absolute_error,-0.6458078296131216,1.8422025934533358e-66,552
nc_aware_lambda_0p10,gaussian_blur,2.0,circularity_absolute_error,-0.24862407216886126,3.640823549732446e-09,548
nc_aware_lambda_0p10,gaussian_blur,3.0,nc_absolute_error,-0.6495914143049142,1.7964270459384412e-67,552
nc_aware_lambda_0p10,gaussian_blur,3.0,circularity_absolute_error,-0.19801205162348073,2.9960894352109556e-06,548
nc_aware_lambda_0p10,gaussian_noise,10.0,nc_absolute_error,-0.6373301870049866,3.0141535290275632e-64,552
nc_aware_lambda_0p10,gaussian_noise,10.0,circularity_absolute_error,-0.3362795146646011,6.292357693189492e-16,547
nc_aware_lambda_0p10,gaussian_noise,20.0,nc_absolute_error,-0.6680152238768648,1.3131163063075224e-72,552
nc_aware_lambda_0p10,gaussian_noise,20.0,circularity_absolute_error,-0.42530372790634746,1.755219998160159e-25,548
nc_aware_lambda_0p10,gaussian_noise,30.0,nc_absolute_error,-0.7470909572489965,1.2868634113401051e-99,552
nc_aware_lambda_0p10,gaussian_noise,30.0,circularity_absolute_error,-0.5282595167335199,1.439573395356464e-39,532
