family,split,seed,model,degradation,metric,expected_direction,values_by_severity,trend_label,target
segmentation_morphometry,test,20260803,baseline,gaussian_blur,foreground_dice,decrease,0.799481|0.795478|0.789821,fully_monotonic,
segmentation_morphometry,test,20260803,baseline,gaussian_blur,mean_nc_absolute_error,increase,0.322184|0.331007|0.340916,fully_monotonic,
segmentation_morphometry,test,20260803,baseline,gaussian_blur,mean_circularity_absolute_error,increase,0.137902|0.130451|0.128525,inconsistent,
segmentation_morphometry,test,20260803,baseline,gaussian_blur,invalid_nc_rate,increase,0|0|0,partially_monotonic,
segmentation_morphometry,test,20260803,baseline,gaussian_noise,foreground_dice,decrease,0.803271|0.778312|0.687459,fully_monotonic,
segmentation_morphometry,test,20260803,baseline,gaussian_noise,mean_nc_absolute_error,increase,0.308721|0.337522|0.451076,fully_monotonic,
segmentation_morphometry,test,20260803,baseline,gaussian_noise,mean_circularity_absolute_error,increase,0.136115|0.219508|0.323587,fully_monotonic,
segmentation_morphometry,test,20260803,baseline,gaussian_noise,invalid_nc_rate,increase,0|0|0,partially_monotonic,
segmentation_morphometry,test,20260803,nc_aware_lambda_0p10,gaussian_blur,foreground_dice,decrease,0.813254|0.809948|0.803434,fully_monotonic,
segmentation_morphometry,test,20260803,nc_aware_lambda_0p10,gaussian_blur,mean_nc_absolute_error,increase,0.335761|0.325134|0.328199,partially_monotonic,
segmentation_morphometry,test,20260803,nc_aware_lambda_0p10,gaussian_blur,mean_circularity_absolute_error,increase,0.139619|0.135685|0.131869,inconsistent,
segmentation_morphometry,test,20260803,nc_aware_lambda_0p10,gaussian_blur,invalid_nc_rate,increase,0|0|0,partially_monotonic,
segmentation_morphometry,test,20260803,nc_aware_lambda_0p10,gaussian_noise,foreground_dice,decrease,0.813817|0.810796|0.795483,fully_monotonic,
segmentation_morphometry,test,20260803,nc_aware_lambda_0p10,gaussian_noise,mean_nc_absolute_error,increase,0.335707|0.326336|0.34194,partially_monotonic,
segmentation_morphometry,test,20260803,nc_aware_lambda_0p10,gaussian_noise,mean_circularity_absolute_error,increase,0.147135|0.172602|0.223518,fully_monotonic,
segmentation_morphometry,test,20260803,nc_aware_lambda_0p10,gaussian_noise,invalid_nc_rate,increase,0|0|0,partially_monotonic,
segmentation_morphometry,test,20260804,baseline,gaussian_blur,foreground_dice,decrease,0.832871|0.830702|0.824779,fully_monotonic,
segmentation_morphometry,test,20260804,baseline,gaussian_blur,mean_nc_absolute_error,increase,0.257036|0.26188|0.274157,fully_monotonic,
segmentation_morphometry,test,20260804,baseline,gaussian_blur,mean_circularity_absolute_error,increase,0.117206|0.113592|0.116078,partially_monotonic,
segmentation_morphometry,test,20260804,baseline,gaussian_blur,invalid_nc_rate,increase,0|0|0,partially_monotonic,
segmentation_morphometry,test,20260804,baseline,gaussian_noise,foreground_dice,decrease,0.830109|0.817737|0.772953,fully_monotonic,
segmentation_morphometry,test,20260804,baseline,gaussian_noise,mean_nc_absolute_error,increase,0.255296|0.275159|0.346019,fully_monotonic,
segmentation_morphometry,test,20260804,baseline,gaussian_noise,mean_circularity_absolute_error,increase,0.12689|0.164604|0.25436,fully_monotonic,
segmentation_morphometry,test,20260804,baseline,gaussian_noise,invalid_nc_rate,increase,0|0|0,partially_monotonic,
segmentation_morphometry,test,20260804,nc_aware_lambda_0p10,gaussian_blur,foreground_dice,decrease,0.808682|0.807168|0.80282,fully_monotonic,
segmentation_morphometry,test,20260804,nc_aware_lambda_0p10,gaussian_blur,mean_nc_absolute_error,increase,0.301242|0.300817|0.306182,partially_monotonic,
segmentation_morphometry,test,20260804,nc_aware_lambda_0p10,gaussian_blur,mean_circularity_absolute_error,increase,0.128398|0.128909|0.121718,partially_monotonic,
segmentation_morphometry,test,20260804,nc_aware_lambda_0p10,gaussian_blur,invalid_nc_rate,increase,0|0|0,partially_monotonic,
segmentation_morphometry,test,20260804,nc_aware_lambda_0p10,gaussian_noise,foreground_dice,decrease,0.808621|0.802707|0.764046,fully_monotonic,
segmentation_morphometry,test,20260804,nc_aware_lambda_0p10,gaussian_noise,mean_nc_absolute_error,increase,0.294636|0.288317|0.336783,partially_monotonic,
segmentation_morphometry,test,20260804,nc_aware_lambda_0p10,gaussian_noise,mean_circularity_absolute_error,increase,0.141027|0.17335|0.242882,fully_monotonic,
segmentation_morphometry,test,20260804,nc_aware_lambda_0p10,gaussian_noise,invalid_nc_rate,increase,0|0|0,partially_monotonic,
segmentation_morphometry,test,20260805,baseline,gaussian_blur,foreground_dice,decrease,0.829159|0.82743|0.822742,fully_monotonic,
segmentation_morphometry,test,20260805,baseline,gaussian_blur,mean_nc_absolute_error,increase,0.240653|0.245142|0.260541,fully_monotonic,
segmentation_morphometry,test,20260805,baseline,gaussian_blur,mean_circularity_absolute_error,increase,0.121723|0.119551|0.115367,inconsistent,
segmentation_morphometry,test,20260805,baseline,gaussian_blur,invalid_nc_rate,increase,0|0|0,partially_monotonic,
segmentation_morphometry,test,20260805,baseline,gaussian_noise,foreground_dice,decrease,0.826178|0.818175|0.79248,fully_monotonic,
segmentation_morphometry,test,20260805,baseline,gaussian_noise,mean_nc_absolute_error,increase,0.238909|0.254677|0.302266,fully_monotonic,
segmentation_morphometry,test,20260805,baseline,gaussian_noise,mean_circularity_absolute_error,increase,0.121139|0.158393|0.216876,fully_monotonic,
segmentation_morphometry,test,20260805,baseline,gaussian_noise,invalid_nc_rate,increase,0|0|0,partially_monotonic,
segmentation_morphometry,test,20260805,nc_aware_lambda_0p10,gaussian_blur,foreground_dice,decrease,0.811649|0.812543|0.809349,partially_monotonic,
