section,metric,estimate,ci_low,ci_high,bootstrap_repeats,bootstrap_seed,cluster_unit,n_clusters,n_cells,finite_bootstrap_replicates
primary,mean_nucleus_dice,0.6643442492056391,0.649494538735525,0.6790357222004736,10000,20260813,parent_source_id,963,4000,10000
primary,mean_circularity_ae,0.18507341530783095,0.17788325214852924,0.19263262760076985,10000,20260813,parent_source_id,963,4000,10000
primary,spearman_nucleus_dice_vs_circularity_ae,-0.5056817879665255,-0.538003578780258,-0.47197322287728466,10000,20260813,parent_source_id,963,3939,10000
secondary,mean_area_ae,1717.59975,1555.1670898248183,1893.223723240032,10000,20260813,parent_source_id,963,4000,10000
secondary,mean_perimeter_ae,79.58207036111827,73.37030691785685,86.29551427160683,10000,20260813,parent_source_id,963,4000,10000
secondary,mean_nc_ae,0.15327543813956843,0.13835876762315896,0.1702065858268826,10000,20260813,parent_source_id,963,4000,10000
secondary,mean_foreground_dice,0.6805391976131392,0.6683056390151266,0.6924551598873989,10000,20260813,parent_source_id,963,4000,10000
secondary,spearman_foreground_dice_vs_area_ae,-0.5919684668578965,-0.6227114084072709,-0.5603515679860154,10000,20260813,parent_source_id,963,4000,10000
secondary,spearman_foreground_dice_vs_perimeter_ae,-0.5777107892431084,-0.6067388058041758,-0.5478259286845081,10000,20260813,parent_source_id,963,3939,10000
secondary,spearman_foreground_dice_vs_nc_ae,-0.5463363392379956,-0.5850109037213796,-0.5056504775307502,10000,20260813,parent_source_id,963,3999,10000
secondary,spearman_nucleus_dice_vs_area_ae,-0.7300270917211535,-0.7494450000345659,-0.7090865621415687,10000,20260813,parent_source_id,963,4000,10000
secondary,spearman_nucleus_dice_vs_perimeter_ae,-0.6634354999547365,-0.6874427280266593,-0.6387584851085624,10000,20260813,parent_source_id,963,3939,10000
external_specificity,mean_raw_circularity_ae,0.18507341530783095,0.17788325214852924,0.19263262760076985,10000,20260813,parent_source_id,963,4000,10000
external_specificity,mean_closing_circularity_ae,0.1298634234055807,0.12375496242956578,0.1363708713267412,10000,20260813,parent_source_id,963,4000,10000
external_specificity,mean_null_circularity_ae,0.13257592626842263,0.1262879236085959,0.13920765076323552,10000,20260813,parent_source_id,963,4000,10000
external_specificity,mean_closing_benefit,0.054937693439892625,0.051784979766232,0.05802876925799322,10000,20260813,parent_source_id,963,4000,10000
external_specificity,mean_null_benefit,0.05229589087263856,0.04925984982952326,0.05528606780188276,10000,20260813,parent_source_id,963,4000,10000
external_specificity,mean_closing_specific_residual,0.0023061751299224323,0.002045958470893045,0.0025847160526682256,10000,20260813,parent_source_id,963,4000,10000
