sample_id,parent_source_id,image_path,nucleus_contour_path,cytoplasm_contour_path,technical_valid,technical_exclusion_reason,width,height,diagnostic_class_if_available,image_mode,dtype,nucleus_points,cytoplasm_points,nucleus_area_gt_pixels,cell_area_gt_pixels,cytoplasm_only_area_gt_pixels,nucleus_perimeter_gt_pixels,nucleus_outside_cell_pixels,nc_ratio_defined,circularity_defined
Dyskeratotic__001_01,Dyskeratotic__001,data\raw\sipakmed\im_Dyskeratotic\CROPPED\001_01.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\001_01_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\001_01_cyt.dat,TRUE,,109,112,Dyskeratotic,RGB,uint8,16,22,969,5747,4778,144,0,TRUE,TRUE
Dyskeratotic__001_02,Dyskeratotic__001,data\raw\sipakmed\im_Dyskeratotic\CROPPED\001_02.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\001_02_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\001_02_cyt.dat,TRUE,,86,102,Dyskeratotic,RGB,uint8,14,16,1258,3932,2674,170,0,TRUE,TRUE
Dyskeratotic__001_03,Dyskeratotic__001,data\raw\sipakmed\im_Dyskeratotic\CROPPED\001_03.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\001_03_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\001_03_cyt.dat,TRUE,,107,102,Dyskeratotic,RGB,uint8,12,20,1167,4412,3245,168,0,TRUE,TRUE
Dyskeratotic__001_04,Dyskeratotic__001,data\raw\sipakmed\im_Dyskeratotic\CROPPED\001_04.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\001_04_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\001_04_cyt.dat,TRUE,,101,91,Dyskeratotic,RGB,uint8,11,16,763,4223,3460,138,0,TRUE,TRUE
Dyskeratotic__001_05,Dyskeratotic__001,data\raw\sipakmed\im_Dyskeratotic\CROPPED\001_05.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\001_05_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\001_05_cyt.dat,TRUE,,101,82,Dyskeratotic,RGB,uint8,13,22,618,3718,3100,120,0,TRUE,TRUE
Dyskeratotic__002_01,Dyskeratotic__002,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_01.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_01_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_01_cyt.dat,TRUE,,127,106,Dyskeratotic,RGB,uint8,12,22,761,5502,4741,142,0,TRUE,TRUE
Dyskeratotic__002_02,Dyskeratotic__002,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_02.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_02_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_02_cyt.dat,TRUE,,86,78,Dyskeratotic,RGB,uint8,14,25,748,2553,1805,128,0,TRUE,TRUE
Dyskeratotic__002_03,Dyskeratotic__002,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_03.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_03_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_03_cyt.dat,TRUE,,69,68,Dyskeratotic,RGB,uint8,14,19,628,1811,1183,120,0,TRUE,TRUE
Dyskeratotic__002_04,Dyskeratotic__002,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_04.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_04_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_04_cyt.dat,TRUE,,157,119,Dyskeratotic,RGB,uint8,11,21,832,7727,6895,136,0,TRUE,TRUE
Dyskeratotic__002_05,Dyskeratotic__002,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_05.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_05_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_05_cyt.dat,TRUE,,111,101,Dyskeratotic,RGB,uint8,10,22,1023,5242,4219,152,0,TRUE,TRUE
Dyskeratotic__002_06,Dyskeratotic__002,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_06.bmp,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_06_nuc.dat,data\raw\sipakmed\im_Dyskeratotic\CROPPED\002_06_cyt.dat,TRUE,,126,104,Dyskeratotic,RGB,uint8,14,16,2059,5900,3841,220,0,TRUE,TRUE
